id,name,ontology,type,defination
120,hematopoietic precursor cell,CL:0008001,1,"""Any hematopoietic cell that is a precursor of some other hematopoietic cell type."" [GOC:dos]"
121,promonocyte,CL:0000559,1,"""A precursor in the monocytic series, being a cell intermediate in development between the monoblast and monocyte. This cell is CD11b-positive and has fine azurophil granules."" [GOC:tfm, ISBN:0721601464]"
122,Fraction A pre-pro B cell,CL:0002045,1,"""A pro-B cell that CD45R/B220-positive, CD43-positive, HSA-low, BP-1-negative and Ly6c-negative. This cell type is also described as being lin-negative, AA4-positive, Kit-positive, IL7Ra-positive and CD45R-positive."" [GOC:ak, GOC:tfm, http://www.immgen.org/index_content.html, PMID:12633665, PMID:17582343]"
123,early pro-B cell,CL:0002046,1,"""A pro-B cell that is CD22-positive, CD34-positive, CD38-positive and TdT-positive (has TdT activity). Pre-BCR is expressed on the cell surface. Cell is CD19-negative, CD20-negative, complement receptor type 2-negative and CD10-low. D-to-J recombination of the heavy chain occurs at this stage."" [GOC:dsd, GOC:tfm, PMID:18432934]"
124,basophil,CL:0000767,1,"""Any of the immature or mature forms of a granular leukocyte that in its mature form has an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse, bluish-black granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation. A basophil is CD123-positive, CD193-positive, CD203c-positive, and FceRIa-positive."" [GOC:add, GOC:amm, GOC:dsd, GOC:tfm, ISBN:0721601464, MESH:D001491, PMCID:PMC2626675, PMID:11927641, PMID:19741522, PMID:21236338, PMID:9933081]"
125,late pro-B cell,CL:0002048,1,"""A pre-B cell precursor is CD19-low, CD22-positive , CD34-positive, CD38-positive."" [GOC:dsd, GOC:tfm, PMID:18432934]"
126,erythroblast,CL:0000765,1,"""A nucleated precursor of an erythrocyte that lacks hematopoietic lineage markers."" [GOC:add, ISBN:0721601464, PMID:18174176]"
127,granulocytopoietic cell,CL:0002191,1,"""A cell involved in the formation of a granulocyte."" [GOC:tfm]"
128,lung endothelial cell,CL:1001567,1,
129,proerythroblast,CL:0000547,1,"""An immature, nucleated erythrocyte occupying the stage of erythropoeisis that follows formation of erythroid progenitor cells. This cell is CD71-positive, has both a nucleus and a nucleolus, and lacks hematopoeitic lineage markers."" [ISBN:0721601464, MESH:A11.118.290.350.200, PMID:1638021]"
130,Langerhans cell,CL:0000453,1,"""Langerhans cell is a conventional dendritic cell that has plasma membrane part CD207. A Langerhans cell is a stellate dendritic cell of myeloid origin, that appears clear on light microscopy and has a dark-staining, indented nucleus and characteristic inclusions (Birbeck granules) in the cytoplasm; Langerhans cells are found principally in the stratum spinosum of the epidermis, but they also occur in other stratified epithelia and have been identified in the lung, lymph nodes, spleen, and thymus."" [GO_REF:0000031, GOC:add, GOC:amm, ISBN:0721601464, ISBN:0781735149, PMCID:PMC2346585, PMID:17850486]"
131,basal cell of epidermis,CL:0002187,1,"""A basally situated, mitotically active, columnar-shaped keratinocyte attached to the basement membrane."" [GOC:tfm, ISBN:0517223651]"
132,keratinocyte,CL:0000312,1,"""An epidermal cell which synthesizes keratin and undergoes a characteristic change as it moves upward from the basal layers of the epidermis to the cornified (horny) layer of the skin. Successive stages of differentiation of the keratinocytes forming the epidermal layers are basal cell, spinous or prickle cell, and the granular cell."" [GOC:dsd, http://en.wikipedia.org/wiki/Keratinocyte, MESH:A11.436.397, MESH:D015603, PMID:15582983, PMID:15749908, PMID:19727116]"
133,non-classical monocyte,CL:0000875,1,"""A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair."" [GO_REF:0000031, GOC:add, PMID:16322748, PMID:18303997, PMID:20628149, PMID:20870168]"
134,leukocyte,CL:0000738,1,"""An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [GOC:add, GOC:tfm, ISBN:978-0-323-05290-0]"
135,alveolar macrophage,CL:0000583,1,"""A tissue-resident macrophage found in the alveoli of the lungs. Ingests small inhaled particles resulting in degradation and presentation of the antigen to immunocompetent cells. Markers include F4/80-positive, CD11b-/low, CD11c-positive, CD68-positive, sialoadhesin-positive, dectin-1-positive, MR-positive, CX3CR1-negative."" [GO_REF:0000031, GOC:ana, GOC:dsd, GOC:tfm, MESH:A11.329.372.600]"
136,classical monocyte,CL:0000860,1,"""A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."" [GO_REF:0000031, GOC:add, PMID:16322748, PMID:18303997, PMID:20628149, PMID:20870168]"
137,ciliated columnar cell of tracheobronchial tree,CL:0002145,1,"""A ciliated columnar cell found in the trachea and bronchus. Vary from low to tall columnar; possesses up to 300 cilia at its surface, interspersed with long irregular microvilli with the cilia varying in length from about 6um in the trachea to about 4um in the terminal bronchioles; driving force of the ciliary current in the bronchial tree."" [GOC:tfm, ISBN:0517223651]"
138,immature T cell,CL:0002420,1,"""A T cell that has not completed T cell selection."" [GOC:tfm]"
139,kidney cell,CL:1000497,1,
140,mesangial cell,CL:0000650,1,"""A cell type that encapsulates the capillaries and venules in the kidney. This cell secretes mesangial matrix that provides the structural support for the capillaries."" [GOC:tfm, http://www.copewithcytokines.de/cope.cgi?key=mesangial%20cells]"
141,kidney collecting duct epithelial cell,CL:1000454,1,"""An epithelial cell that is part of the collecting duct of renal tubule."" [GOC:tfm]"
142,kidney capillary endothelial cell,CL:1000892,1,
143,kidney loop of Henle ascending limb epithelial cell,CL:1001016,1,
144,DN1 thymic pro-T cell,CL:0000894,1,"""A pro-T cell that has the phenotype CD4-negative, CD8-negative, CD44-positive, and CD25-negative."" [GO_REF:0000031, GOC:add, GOC:tfm]"
145,kidney proximal straight tubule epithelial cell,CL:1000839,1,
146,duct epithelial cell,CL:0000068,1,"""An epithelial cell that is part of a duct."" [https://orcid.org/0000-0001-5208-3432]"
147,skeletal muscle satellite cell,CL:0000594,1,"""An elongated, spindle-shaped, cell that is located between the basal lamina and the plasmalemma of a muscle fiber. These cells are mostly quiescent, but upon activation they divide to produce cells that generate new muscle fibers."" [GOC:tfm, MESH:A11.635.500.700, PMID:21849021, PMID:23303905]"
148,endothelial cell of hepatic sinusoid,CL:1000398,1,"""An endothelial cell that is part of the hepatic sinusoid. These cells possess flattened areas containing perforations about 0.1 micrometers in diameter, known as fenestrae. The fenestrae are arranged in groups known as sieve plates."" [GOC:tfm, PMID:3926620]"
149,bladder urothelial cell,CL:1001428,1,
150,bladder cell,CL:1001319,1,
151,neuroendocrine cell,CL:0000165,1,"""An endocrine cell that has the specialized function to produce and secrete hormones in response to neuronal signals."" [MESH:A06.688]"
152,mesenchymal cell,CL:0008019,1,"""A non-polarised cell precursor cell that is part of some mesenchyme, is associated with the cell matrix but is not connected to other cells and is capable of migration."" []"
153,blood cell,CL:0000081,1,"""A cell found predominately in the blood."" [GOC:add, GOC:tfm]"
154,cardiac muscle cell,CL:0000746,1,"""Cardiac muscle cells are striated muscle cells that are responsible for heart contraction. In mammals, the contractile fiber resembles those of skeletal muscle but are only one third as large in diameter, are richer in sarcoplasm, and contain centrally located instead of peripheral nuclei."" [GOC:mtg_cardiacconduct_nov11, GOC:tfm, ISBN:0323052908, PMID:22426062, PMID:4711263]"
155,endocardial cell,CL:0002350,1,"""An endothelial cell that lines the intracavitary lumen of the heart, separating the circulating blood from the underlying myocardium. This cell type releases a number of vasoactive substances including prostacyclin, nitrous oxide and endothelin."" [GOC:tfm, ISSN:0452-3458]"
156,luminal epithelial cell of mammary gland,CL:0002326,1,"""A mammary epithelial cell that occurs in the lumen of the ductal and alveoli structure in the breast."" [GOC:tfm, PMID:19022771]"
157,microglial cell,CL:0000129,1,"""A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive."" [GOC:add, GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Microglia, ISBN:0721601464, MESH:D017628, PMID:11517395, PMID:12430718, PMID:14561199, PMID:14612429, PMID:16177057, PMID:19461673, PMID:2089275]"
158,keratinocyte stem cell,CL:0002337,1,"""A stem cell located in the bulge of the hair follicle that can give rise to regenerate the new follicle with each hair cycle and to reepithelialize the epidermis during wound repair."" [PMID:15339667]"
159,granulocyte monocyte progenitor cell,CL:0000557,1,"""A hematopoietic progenitor cell that is committed to the granulocyte and monocyte lineages. These cells are CD123-positive, and do not express Gata1 or Gata2 but do express C/EBPa, and Pu.1."" [GO_REF:0000031, GOC:amm, GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/CFU-GM, http://www.copewithcytokines.de, ISBN:0721601464, MESH:D055014, PMCID:PMC2213186, PMCID:PMC548021, PMID:16551251, PMID:16647566]"
160,skeletal muscle satellite stem cell,CL:0008011,1,"""A skeletal muscle satellite cell that divides by stem cell division.  A proportion of this population undergoes symmetric stem cell division, producing two skeletal muscle satellite stem cells. The rest undergo asymmetric stem cell division - retaining their identity while budding off a daughter cell that differentiates into an adult skeletal muscle myoblast."" [PMID:23303905]"
161,astrocyte of the cerebral cortex,CL:0002605,1,"""An astrocyte of the cerebral cortex."" [GOC:tfm]"
162,enteroendocrine cell,CL:0000164,1,"""An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas."" [GOC:tfm, SANBI:mhl]"
163,large intestine goblet cell,CL:1000320,1,"""A goblet cell that is part of the epithelium of large intestine."" [GOC:tfm]"
164,epithelial cell of proximal tubule,CL:0002306,1,"""An epithelial cell of the proximal tubule of the kidney."" [GOC:tfm, ISBN:1-4160-2328-3]"
165,Slamf1-negative multipotent progenitor cell,CL:0002035,1,"""A hematopoietic progenitor that has restricted self-renewal capability. Cell is Kit-positive, Ly6-positive, CD150-negative and Flt3-negative."" [GOC:tfm, PMID:19022770]"
166,professional antigen presenting cell,CL:0000145,1,"""A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response."" [GOC:add, ISBN:0781735149]"
167,pancreatic A cell,CL:0000171,1,"""A type of enteocrine cell found in the periphery of the islets of Langerhans that secretes glucagon."" [GOC:tfm, ISBN:0721662544]"
168,type B pancreatic cell,CL:0000169,1,"""A cell that secretes insulin and is located towards the center of the islets of Langerhans."" [GOC:tfm, http://en.wikipedia.org/wiki/Pancreatic_b_cell, ISBN:0517223651]"
169,pancreatic PP cell,CL:0002275,1,"""A PP cell located in the islets of the pancreas."" [GOC:tfm]"
170,pancreatic ductal cell,CL:0002079,1,"""Epithelial cell found in the ducts of the pancreas. This cell type contributes to the high luminal pH."" [FMA:63099, GOC:tfm, PMID:14740223]"
171,pancreatic stellate cell,CL:0002410,1,"""A cell that is found in the periacinar space of the exocrine pancreas and in perivascular and periductal regions of the pancreas, and has long cytoplasmic processes that encircle the base of the acinus. Expresses several intermediate filament proteins including vimentin and nestin. Shares many of the characteristics of hepatatic stellate cells, but not stellate cells of the central nervous system. Upon activation, this cell type undergoes morphological and gene expression changes that make the cell suggestive of being a type of myofibroblast."" [GOC:mah, GOC:tfm, PMID:17200706]"
172,megakaryocyte-erythroid progenitor cell,CL:0000050,1,"""A progenitor cell committed to the megakaryocyte and erythroid lineages."" [GOC:add, GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Megakaryocyte-erythroid_progenitor_cell, MESH:D055015, PMID:16647566]"
173,myofibroblast cell,CL:0000186,1,"""An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell."" [GOC:dsd, GOC:tfm, MESH:D058628, PMID:19800625, PMID:20630469]"
174,common lymphoid progenitor,CL:0000051,1,"""A oligopotent progenitor cell committed to the lymphoid lineage."" [GOC:add, GOC:dsd, GOC:tfm, PMID:10407577, PMID:16551251]"
175,pancreatic acinar cell,CL:0002064,1,"""A secretory cell found in pancreatic acini that secretes digestive enzymes and mucins. This cell is a typical zymogenic cell, have a basal nucleus and basophilic cytoplasm consisting of regular arrays of granular endoplasmic reticulum with mitochondria and dense secretory granules."" [GOC:tfm, http://www.copewithcytokines.de/cope.cgi?key=pancreatic%20acinar%20cells, ISBN:0517223651, PMID:20395539]"
176,epidermal cell,CL:0000362,1,"""An epithelial cell of the integument (the outer layer of an organism)."" [Flybase:dsj, MA:ma]"
177,oligodendrocyte precursor cell,CL:0002453,1,"""The cell type from which oligodendrocytes develop. This cell originates from multiple structures within the developing brain including the medial ganglion eminence and the lateral ganglionic eminence. These cells migrate throughout the central nervous system and persist into adulthood where they play an important role in remyelination of injured neurons."" [GOC:tfm, PMID:20142420]"
178,erythrocyte,CL:0000232,1,"""A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen."" [GOC:tfm, MESH:A11.118.290]"
179,epithelial cell of lung,CL:0000082,1,"""An epithelial cell of the lung."" [https://orcid.org/0000-0001-5208-3432]"
180,stem cell of epidermis,CL:1000428,1,"""A somatic stem cell that is part of the epidermis."" [GOC:tfm]"
181,brain pericyte,CL:2000043,1,"""Any pericyte cell that is part of a brain."" [GOC:TermGenie]"
182,Bergmann glial cell,CL:0000644,1,"""Type of radial astrocyte in the cerebellar cortex that have their cell bodies in the Purkinje cell layer and processes that extend into the molecular layer, terminating with bulbous endfeet at the pial surface. Bergmann glia express high densities of glutamate transporters that limit diffusion of the neurotransmitter glutamate during its release from synaptic terminals. Besides their role in early development of the cerebellum, Bergmann glia are also required for the pruning or addition of synapses."" [GOC:tfm, http://www.neurolex.org/wiki/Category\:Bergmann_Glial_Cell]"
183,Slamf1-positive multipotent progenitor cell,CL:0002036,1,"""A hematopoietic progenitor that has some limited self-renewal capability. Cells are lin-negative, Kit-positive, CD34-positive, and Slamf1-positive."" [GOC:tfm, PMID:19022770]"
184,mature natural killer cell,CL:0000824,1,"""A natural killer cell that is developmentally mature and expresses a variety of inhibitory and activating receptors that recognize MHC class I and other stress related molecules."" [GO_REF:0000031, GOC:add, ISBN:0781735149, PMID:14685782]"
185,pancreatic D cell,CL:0000173,1,"""A D cell located in the pancreas. Peripherally placed within the islets like type A cells; contains somatostatin."" [FMA:0517223651, GOC:tfm]"
186,Kupffer cell,CL:0000091,1,"""A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system."" [GO_REF:0000031, GOC:add, GOC:tfm, ISBN:0517223651, MESH:A11.329.372.588, PMID:15771589, PMID:17105582]"
187,immature natural killer cell,CL:0000823,1,"""A natural killer cell that is developmentally immature and expresses natural killer cell receptors (NKR)."" [GO_REF:0000031, GOC:add, ISBN:0781735149, PMID:12457618]"
188,immature NK T cell,CL:0000914,1,"""An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:17589542, PMID:19169262]"
189,cardiac neuron,CL:0010022,1,
190,pre-natural killer cell,CL:0000937,1,"""Cell committed to natural killer cell lineage that has the phenotype CD122-positive, CD34-positive, and CD117-positive. This cell type lacks expression of natural killer receptor proteins."" [GO_REF:0000031, GOC:add, GOC:dsd, GOC:pam, GOC:tfm, PMID:16551251, PMID:17100874]"
191,globose cell of olfactory epithelium,CL:0002171,1,"""A rounded or elliptical epithelial cell, with pale-staining open face nucleus and pale cytoplasm rich in free ribosomes and clusters of centrioles; form a distinct basal zone spaced slightly from the basal surface of the epithelium."" [GOC:tfm, PMID:17468753]"
192,basal proper cell of olfactory epithelium,CL:0002184,1,"""A flat or angular epithelial cell with condensed nuclei and darkly staining cytoplasm containing numerous intermediate filaments inserted into desmosomes contacting surrounding supporting cells; lie in contact with the basal lamina of olfactory epithelium."" [GOC:tfm, PMID:0517223651, PMID:11891623]"
193,secretory cell,CL:0000151,1,"""A cell that specializes in controlled release of one or more substances."" [GOC:tfm, ISBN:0721662544]"
194,respiratory basal cell,CL:0002633,1,"""A basal cell in the respiratory tract."" [GOC:tfm, PMID:20699479]"
195,sustentacular cell,CL:0000703,1,"""Cell that provides some or all mechanical, nutritional and phagocytic support to their neighbors."" [JB:jb]"
196,microvillous olfactory receptor neuron,CL:0000848,1,"""An olfactory receptor cell in which the apical ending of the dendrite is a knob that bears numerous microvilli."" [PMID:16841163]"
197,fibroblast of cardiac tissue,CL:0002548,1,"""A fibroblast that is part of the heart."" [GOC:tfm]"
198,cardiac endothelial cell,CL:0010008,1,
199,Schwann cell,CL:0002573,1,"""A glial cell that ensheathes axons of neuron in the peripheral nervous system and are necessary for their maintainance and function."" [GOC:tfm]"
200,vascular leptomeningeal cell,CL:4023051,1,"""A type of mesothelial fibroblast that is derived from the neural crest, is localized on blood vessels, and is a key component of the pia and arachnoid membranes surrounding the brain."" [PMID:27284195, PMID:29443965, PMID:30096314]"
201,olfactory ensheathing cell,CL:0011028,1,
202,olfactory bulb interneuron,CL:1001434,1,"""A neuron residing in the olfactory bulb that serve to process and refine signals arising from olfactory sensory neurons"" [PMID:18603310]"
203,dopaminergic neuron,CL:0000700,1,"""A neuron that releases dopamine as a neurotransmitter."" [GOC:dhill]"
204,olfactory granule cell,CL:0000626,1,"""Granule cell that is part of the olfactory bulb."" [GOC:mah]"
205,leptomeningeal cell,CL:0000708,1,"""Stromal cell that forms the internal covering of the vertebrate brain and produces ECM for this and the choroid plexus."" [JB:jb]"
206,central nervous system pericyte,CL:0002575,1,"""A pericyte of the central nervous system."" [GOC:tfm]"
207,neural progenitor cell,CL:0011020,1,"""An undifferentiated cell that originates from a neural stem cell and has the capacity to generate multiple types of lineage-restricted progenitors but not to self-renew."" [PMID:30574073]"
208,cortical interneuron,CL:0008031,1,
209,cerebral cortex endothelial cell,CL:1001602,1,"""Endothelial cells forming the walls of the capillaries within the cerebral cortex."" [NPX:PDR]"
210,pyramidal neuron,CL:0000598,1,"""Pyramidal neurons have a pyramid-shaped soma with a single axon, a large apical dendrite and multiple basal dendrites. The apex and an apical dendrite typically point toward the pial surface and other dendrites and an axon emerging from the base. The axons may have local collaterals but also project outside their region. Pyramidal neurons are found in the cerebral cortex, the hippocampus, and the amygdala."" [GOC:tfm, MESH:A08.186.211.577.405.700]"
211,excitatory neuron,CL:0008030,1,
212,phagocyte,CL:0000234,1,"""Any cell capable of ingesting particulate matter via phagocytosis."" [GOC:add, ISBN:0721601464]"
213,cerebral cortex glial cell,CL:1001579,1,"""Glial cell of cerebral cortex."" [NPX:PDR]"
214,kidney loop of Henle epithelial cell,CL:1000909,1,
215,renal filtration cell,CL:0002522,1,"""A renal filtration cell is a specialized cell of the renal system that filter fluids by charge, size or both."" [GOC:tfm]"
216,kidney interstitial myofibroblast,CL:1000691,1,
217,glomerular visceral epithelial cell,CL:0000653,1,"""A glomerular visceral epithelial cell is a specialized kidney epithelial cell that contains \""feet\"" that interdigitate with the \""feet\"" of other glomerular epithelial cells."" [GOC:tfm]"
218,erythroid progenitor cell,CL:0000038,1,"""A progenitor cell committed to the erythroid lineage."" [GOC:add, ISBN:0721601464]"
219,megakaryocyte progenitor cell,CL:0000553,1,"""The earliest cytologically identifiable precursor in the thrombocytic series. This cell is capable of endomitosis and lacks expression of hematopoieitic lineage markers (lin-negative)."" [GOC:dsd, GOC:tfm, ISBN:0721601464]"
220,hematopoietic multipotent progenitor cell,CL:0000837,1,"""A hematopoietic multipotent progenitor cell is multipotent, but not capable of long-term self-renewal. These cells are characterized as lacking lineage cell surface markers and being CD34-positive in both mice and humans."" [GOC:add, GOC:tfm, PMID:19022770]"
221,common dendritic progenitor,CL:0001029,1,"""Common dendritic precursor is a hematopoietic progenitor cell that is CD117-low, CD135-positive, CD115-positive and lacks plasma membrane parts for hematopoietic lineage markers."" [GO_REF:0000031, GOC:amm, GOC:tfm, PMID:16551251, PMID:17922016, PMID:19286519]"
222,common myeloid progenitor,CL:0000049,1,"""A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages."" [GOC:add, ISBN:0878932437, MESH:D023461]"
223,Sertoli cell,CL:0000216,1,"""A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier."" [MESH:A05.360.444.849.789]"
224,spermatocyte,CL:0000017,1,"""A male germ cell that develops from spermatogonia. The euploid primary spermatocytes undergo meiosis and give rise to the haploid secondary spermatocytes which in turn give rise to spermatids."" [GOC:tfm, MESH:A05.360.490.890.880]"
225,spermatogonium,CL:0000020,1,"""An euploid male germ cell of an early stage of spermatogenesis."" [MESH:A05.360.490.890.900]"
226,spermatid,CL:0000018,1,"""A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa."" [MESH:A05.360.490.890.860]"
227,smooth muscle cell of colon,CL:1000280,1,"""A smooth muscle cell that is part of the colon."" [GOC:tfm]"
228,retinal pigment epithelial cell,CL:0002586,1,"""An epithelial cell of the retinal pigmented epithelium."" [GOC:tfm]"
229,melanocyte,CL:0000148,1,"""A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance."" [SANBI:mhl]"
230,vein endothelial cell,CL:0002543,1,"""An endothelial cell that is part of the vein."" [GOC:tfm]"
231,capillary endothelial cell,CL:0002144,1,"""An endothelial cell found in capillaries."" [GOC:tfm]"
232,endothelial cell of artery,CL:1000413,1,"""A blood vessel endothelial cell that is part of an arterial endothelium."" [GOC:tfm]"
233,pancreatic epsilon cell,CL:0005019,1,"""Ghrelin secreting cells found in the endocrine pancreas."" [PMID:14970313]"
234,retinal ganglion cell,CL:0000740,1,"""The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve."" [GOC:dph]"
235,amacrine cell,CL:0000561,1,"""Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons."" [GOC:tfm, MESH:A08.663.358.050, WikipediaVersioned:Amacrine_cell&oldid=1023572246]"
236,retinal rod cell,CL:0000604,1,"""One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision."" [MESH:A08.663.650.650.670.650]"
237,retinal bipolar neuron,CL:0000748,1,"""A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer."" [PMID:14689473]"
238,retinal cone cell,CL:0000573,1,"""One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision."" [MESH:A08.663.650.650.670.100]"
239,glomerular endothelial cell,CL:0002188,1,"""An endothelial cell found in the glomerulus of the kidney. This cell is flattened, highly fenestrated, and plays a vital role in the formation of glomerular ultrafiltrate."" [GOC:tfm, PMID:15840009]"
240,kidney connecting tubule epithelial cell,CL:1000768,1,
241,paneth cell of epithelium of small intestine,CL:1000343,1,"""A paneth cell that is part of the epithelium of small intestine."" [GOC:tfm]"
242,intestinal enteroendocrine cell,CL:1001516,1,"""The various hormone- or neurotransmitter-secreting cells present throughout the mucosa of the intestinal tract."" [MP:0010802]"
243,intestinal crypt stem cell,CL:0002250,1,"""A cell that is found in a zone occupying the bottom region of the crypt; provide the source of most of the cell types of the intestinal epithelium; proliferate by mitotic division; differentiates into columnar or goblet cells."" [GOC:tfm, ISBN:0517223651]"
244,small intestine goblet cell,CL:1000495,1,"""A goblet cell that is part of the small intestine."" [GOC:tfm]"
245,enterocyte of epithelium of small intestine,CL:1000334,1,"""An enterocyte that is part of the epithelium of small intestine."" [GOC:tfm]"
246,stem cell,CL:0000034,1,"""A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:tfm, MESH:A11.872]"
247,transit amplifying cell,CL:0009010,1,"""Transit-amplifying cells (TACs) are an undifferentiated population in transition between stem cells and differentiated cells."" [http://orcid.org/0000-0003-4183-8865, PMID:24813615, PMID:28835754]"
248,paneth cell,CL:0000510,1,"""An epithelial cell found in the basal part of the intestinal glands (crypts of Lieberkuhn) including the appendix. Paneth cells synthesize and secrete lysozyme and cryptdins. Numerous in the deeper parts of the intestinal crypts, particularly in the duodenum, rich in zinc, contain large acidophilic granules, with irregular apical microvilli and prominent membrane-bound vacuoles containing matrix."" [GOC:tfm, ISBN:0517223651, MESH:A03.492.411.369.700]"
249,kidney collecting duct cell,CL:1001225,1,
250,juxtaglomerular complex cell,CL:1000618,1,
251,alpha-beta T cell,CL:0000789,1,"""A T cell that expresses an alpha-beta T cell receptor complex."" [GOC:add, GOC:tfm, ISBN:0781735149]"
252,mature B cell,CL:0000785,1,"""A B cell that is mature, having left the bone marrow. Initially, these cells are IgM-positive and IgD-positive, and they can be activated by antigen."" [GOC:add, GOC:dsd, ISBN:0781735149]"
253,hepatic stellate cell,CL:0000632,1,"""A cell that is found in the perisinusoidal space of the liver that is capable of multiple roles including storage of retinol, presentation of antigen to T cells (including CD1d-restricted NKT cells), and upon activation, production of extracellular matrix components that can contribute to liver fibrosis. This activated state has a myofibroblast-like phenotype, though it's not clear in the literature if this is terminally differentiated. This cell type comprises approximately 8-15% of total cells in the liver."" [GOC:dsd, http://en.wikipedia.org/wiki/Hepatic_stellate_cell, MESH:D055166, PMID:12808230, PMID:17239632, PMID:18222966, PMID:9302568]"
254,cholangiocyte,CL:1000488,1,"""An epithelial cell that is part of the bile duct. Cholangiocytes contribute to bile secretion via net release of bicarbonate and water. They are cuboidal epithelium in the small interlobular bile ducts, but become columnar and mucus secreting in larger bile ducts approaching the porta hepatis and the extrahepatic ducts."" [GOC:tfm, PMID:16550043, PMID:18356246]"
255,embryonic fibroblast,CL:2000042,1,"""Any fibroblast that is part of a embryo."" [GOC:TermGenie]"
256,progenitor cell,CL:0011026,1,"""A precursor cell that has a tendency to differentiate into a specific type of cell. They are descendants of stem cells, only they are more constrained in their differentiation potential or capacity for self-renewal, and are often more limited in both senses."" [https://doi.org/10.1016/B978-0-12-409503-8.00002-0, ISBN:978-1-62808-994-3]"
257,lung macrophage,CL:1001603,1,"""Circulating macrophages and tissue macrophages (alveolar macrophages) of lung."" [HPA:HPA, NPX:PDR]"
258,lung secretory cell,CL:1000272,1,
259,neoplastic cell,CL:0001063,1,"""An abnormal cell exhibiting dysregulation of cell proliferation or programmed cell death and capable of forming a neoplasm, an aggregate of cells in the form of a tumor mass or an excess number of abnormal cells (liquid tumor) within an organism."" [GOC:add, GOC:cg, GOC:wdd]"
260,cardiac muscle myoblast,CL:0000513,1,"""A precursor cell destined to differentiate into cardiac muscle cell."" [GOC:tfm, MESH:A11.635.470]"
261,hair germinal matrix cell,CL:0002562,1,"""An epidermal cell that is part of the germinal matrix."" [GOC:tfm]"
262,hair follicle dermal papilla cell,CL:0000346,1,"""A specialized mesenchymal cell that resides in the dermal papilla located at the bottom of hair follicles. This cell plays a pivotal roles in hair formation, growth, and cycling."" [GOC:tfm, PMID:9893172]"
263,ependymal cell,CL:0000065,1,"""A neurectoderm derived cell that lines the neural lumen."" [GOC:tfm, JB:jb, PMID:9550134]"
