id,title,description,topic,source,data_pubdate,data_source_url,source_project_id,status
38,Non-neuronal expression of SARS-CoV-2 entry genes in the olfactory system suggests mechanisms underlying COVID-19-associated anosmia (scRNA-seq: olfactory mucosa),"Altered olfactory function is a common symptom of COVID-19, but its etiology is unknown. A key question is whether SARS-CoV-2 (CoV-2) - the causal agent in COVID-19 - affects olfaction directly, by infecting olfactory sensory neurons or their targets in the olfactory bulb, or indirectly, through perturbation of supporting cells. Here we identify cell types in the olfactory epithelium and olfactory bulb that express SARS-CoV-2 cell entry molecules. Bulk sequencing demonstrated that mouse, non-human primate and human olfactory mucosa expresses two key genes involved in CoV-2 entry, ACE2 and TMPRSS2. However, single cell sequencing revealed that ACE2 is expressed in support cells, stem cells, and perivascular cells, rather than in neurons. Immunostaining confirmed these results and revealed pervasive expression of ACE2 protein in dorsally-located olfactory epithelial sustentacular cells and olfactory bulb pericytes in the mouse. These findings suggest that CoV-2 infection of non-neuronal cell types leads to anosmia and related disturbances in odor perception in COVID-19 patients.",disease;neuroscience,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-151346/result,E-GEOD-151346,1
39,Single-cell RNA-seq of mouse cardiac interstitial cells 3 & 7 days after sham or myocardial infarction injury,"Besides cardiomyocytes (CM), the heart contains numerous interstitial cell types which play key roles in heart repair, regeneration and disease, including fibroblast, vascular and immune cells. However, a comprehensive understanding of this interactive cell community is lacking. We performed single-cell RNA-sequencing of the total non-CM fraction and enriched (Pdgfra-GFP+) fibroblast lineage cells from murine hearts at days 3 and 7 post-sham or myocardial infarction (MI) surgery. Clustering of >30,000 single cells identified >30 populations representing nine cell lineages, including a previously undescribed fibroblast lineage trajectory present in both sham and MI hearts leading to a uniquely activated cell state defined in part by a strong anti-WNT transcriptome signature. We also uncovered novel myofibroblast subtypes expressing either pro-fibrotic or anti-fibrotic signatures. Our data highlight non-linear dynamics in myeloid and fibroblast lineages after cardiac injury, and provide an entry point for deeper analysis of cardiac homeostasis, inflammation, fibrosis, repair and regeneration.",disease;developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7376/result,E-MTAB-7376,1
40,Single-Cell Transcriptome Atlas of Murine Endothelial Cells,"The heterogeneity of endothelial cells (ECs) across tissues remains incompletely inventoried. We constructed an atlas of >32,000 single-EC transcriptomes from 11 mouse tissues and identified 78 EC subclusters, including Aqp7+intestinal capillaries and angiogenic ECs in healthy tissues. ECs from brain/testis, liver/spleen, small intestine/colon, and skeletal muscle/heart pairwise expressed partially overlapping marker genes. Arterial, venous, and lymphatic ECs shared more markers in more tissues than did heterogeneous capillary ECs. ECs from different vascular beds (arteries, capillaries, veins, lymphatics) exhibited transcriptome similarity across tissues, but the tissue (rather than the vessel) type contributed to the EC heterogeneity. Metabolic transcriptome analysis revealed a similar tissue-grouping phenomenon of ECs and heterogeneous metabolic gene signatures in ECs between tissues and between vascular beds within a single tissue in a tissue-type-dependent pattern. The EC atlas taxonomy enabled identification of EC subclusters in public scRNA-seq datasets and provides a powerful discovery tool and resource value.",cell_atlas,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8077/result,E-MTAB-8077,1
41,Single cell RNA-Seq of the mouse heart in response to chronic stress,"Background:Cardiac fibrosis is a key antecedent to many types of cardiac dysfunction including heart failure. Physiological factors leading to cardiac fibrosis have been recognized for decades. However, the specific cellular and molecular mediators that drive cardiac fibrosis, and the relative effect of disparate cell populations on cardiac fibrosis, remain unclear.Methods:We developed a novel cardiac single-cell transcriptomic strategy to characterize the cardiac cellulome, the network of cells that forms the heart. This method was used to profile the cardiac cellular ecosystem in response to 2 weeks of continuous administration of angiotensin II, a profibrotic stimulus that drives pathological cardiac remodeling.Results:Our analysis provides a comprehensive map of the cardiac cellular landscape uncovering multiple cell populations that contribute to pathological remodeling of the extracellular matrix of the heart. Two phenotypically distinct fibroblast populations, Fibroblast-Cilpand Fibroblast-Thbs4, emerged after induction of tissue stress to promote fibrosis in the absence of smooth muscle actin-expressing myofibroblasts, a key profibrotic cell population. After angiotensin II treatment, Fibroblast-Cilpdevelops as the most abundant fibroblast subpopulation and the predominant fibrogenic cell type. Mapping intercellular communication networks within the heart, we identified key intercellular trophic relationships and shifts in cellular communication after angiotensin II treatment that promote the development of a profibrotic cellular microenvironment. Furthermore, the cellular responses to angiotensin II and the relative abundance of fibrogenic cells were sexually dimorphic.Conclusions:These results offer a valuable resource for exploring the cardiac cellular landscape in health and after chronic cardiovascular stress. These data provide insights into the cellular and molecular mechanisms that promote pathological remodeling of the mammalian heart, highlighting early transcriptional changes that precede chronic cardiac fibrosis.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8810/result,E-MTAB-8810,1
42,"Single-cell RNA-seq of tumor-infiltrating lymphocytes in metastatic uveal melanoma, transcriptomics data","Metastatic uveal melanoma is less well understood than its primary counterpart, has a distinct biology compared to skin melanoma, and lacks effective treatments. Here we genomically profile metastatic tumors and infiltrating lymphocytes. BAP1 alterations are overrepresented and found in 29/32 of cases. Reintroducing a functional BAP1 allele into a deficient patient-derived cell line, reveals a broad shift towards a transcriptomic subtype previously associated with better prognosis of the primary disease. One outlier tumor has a high mutational burden associated with UV-damage. CDKN2A deletions also occur, which are rarely present in primaries. A focused knockdown screen is used to investigate overexpressed genes associated withcopy number gains. Tumor-infiltrating lymphocytes are in several cases found tumor-reactive, but expression of the immune checkpoint receptors TIM-3, TIGIT and LAG3 is also abundant. This study represents the largest whole-genome analysis of uveal melanoma to date, and presents an updated view of the metastatic disease.",cancer,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-84/result,E-CURD-84,1
43,Single-cell RNA-seq of CD4+ Treg and Tmem cells from different tissues in mouse (Chromium 10x data),"Non-lymphoid tissues (NLTs) harbor a pool of adaptive immune cells with largely unexplored phenotype and development. We used single-cell RNA-seq to characterize 35,000 CD4+regulatory (Treg) and memory (Tmem) T cells in mouse skin and colon, their respective draining lymph nodes (LNs) and spleen. In these tissues, we identified Treg cell subpopulations with distinct degrees of NLT phenotype. Subpopulation pseudotime ordering and gene kinetics were consistent in recruitment to skin and colon, yet the initial NLT-priming in LNs and the final stages of NLT functional adaptation reflected tissue-specific differences. Predicted kinetics were recapitulated using an in vivo melanoma-induction model, validating key regulators and receptors. Finally, we profiled human blood and NLT Treg and Tmem cells, and identified cross-mammalian conserved tissue signatures. In summary, we describe the relationship between Treg cell heterogeneity and recruitment to NLTs through the combined use of computational prediction and in vivo validation.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7311/result,E-MTAB-7311,1
44,Transcriptomic and clonal characterization of T cells in the human central nervous system.,"T cells provide critical immune surveillance to the central nervous system (CNS), and the cerebrospinal fluid (CSF) is thought to be a main route for their entry. Further characterization of the state of T cells in the CSF in healthy individuals is important for understanding how T cells provide protective immune surveillance without damaging the delicate environment of the CNS and providing tissue-specific context for understanding immune dysfunction in neuroinflammatory disease. Here, we have profiled T cells in the CSF of healthy human donors and have identified signatures related to cytotoxic capacity and tissue adaptation that are further exemplified in clonally expanded CSF T cells. By comparing profiles of clonally expanded T cells obtained from the CSF of patients with multiple sclerosis (MS) and healthy donors, we report that clonally expanded T cells from the CSF of patients with MS have heightened expression of genes related to T cell activation and cytotoxicity.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-30/result,E-HCAD-30,1
45,Single-nucleus RNA-seq resolves spatiotemporal developmental trajectories in the tomato shoot apex -scRNAseq,"Single cell transcriptomics is revolutionizing our understanding of development and response to environmental cues1–3. Recent advances in single cell RNA sequencing (scRNA-seq) technology have enabled profiling gene expression pattern of heterogenous tissues and organs at single cellular level and have been widely applied in human and animal research4,5. Nevertheless, the existence of cell walls significantly encumbered its application in plant research. Protoplasts have been applied for scRNA-seq analysis, but mostly restricted to tissues amenable for wall digestion, such as root tips6–10. However, many cell types are resistant to protoplasting, and protoplasting may yield ectopic gene expression and bias proportions of cell types. Here we demonstrate a method with minimal artifacts for high-throughput single-nucleus RNA sequencing (snRNA-Seq) that we use to profile tomato shoot apex cells. The obtained high-resolution expression atlas identifies numerous distinct cell types covering major shoot tissues and developmental stages, delineates developmental trajectories of mesophyll cells, vasculature cells, epidermal cells, and trichome cells. In addition, we identify key developmental regulators and reveal their hierarchy. Collectively, this study demonstrates the power of snRNA-seq to plant research and provides an unprecedented spatiotemporal gene expression atlas of heterogeneous shoot cells.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-54/result,E-ENAD-54,0
46,Non-neuronal expression of SARS-CoV-2 entry genes in the olfactory system suggests mechanisms underlying COVID-19-associated anosmia (scRNA-seq: olfactory bulb),"Altered olfactory function is a common symptom of COVID-19, but its etiology is unknown. A key question is whether SARS-CoV-2 (CoV-2) - the causal agent in COVID-19 - affects olfaction directly, by infecting olfactory sensory neurons or their targets in the olfactory bulb, or indirectly, through perturbation of supporting cells. Here we identify cell types in the olfactory epithelium and olfactory bulb that express SARS-CoV-2 cell entry molecules. Bulk sequencing demonstrated that mouse, non-human primate and human olfactory mucosa expresses two key genes involved in CoV-2 entry, ACE2 and TMPRSS2. However, single cell sequencing revealed that ACE2 is expressed in support cells, stem cells, and perivascular cells, rather than in neurons. Immunostaining confirmed these results and revealed pervasive expression of ACE2 protein in dorsally-located olfactory epithelial sustentacular cells and olfactory bulb pericytes in the mouse. These findings suggest that CoV-2 infection of non-neuronal cell types leads to anosmia and related disturbances in odor perception in COVID-19 patients.",neuroscience,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-148360/result,E-GEOD-148360,1
47,Neuronal vulnerability and multilineage diversity in multiple sclerosis,"Multiple sclerosis (MS) is a neuroinflammatory disease with a relapsing-remitting disease course at early stages, distinct lesion characteristics in cortical grey versus subcortical white matter and neurodegeneration at chronic stages. Here we used single-nucleus RNA sequencing to assess changes in expression in multiple cell lineages in MS lesions and validated the results using multiplex in situ hybridization. We found selective vulnerability and loss of excitatory CUX2-expressing projection neurons in upper-cortical layers underlying meningeal inflammation; such MS neuron populations exhibited upregulation of stress pathway genes and long non-coding RNAs. Signatures of stressed oligodendrocytes, reactive astrocytes and activated microglia mapped most strongly to the rim of MS plaques. Notably, single-nucleus RNA sequencing identified phagocytosing microglia and/or macrophages by their ingestion and perinuclear import of myelin transcripts, confirmed by functional mouse and human culture assays. Our findings indicate lineage- and region-specific transcriptomic changes associated with selective cortical neuron damage and glial activation contributing to progression of MS lesions.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-35/result,E-HCAD-35,1
48,Single cell sequencing of 3 lung carcinomas,"Cancer cells are embedded in the tumor microenvironment (TME), a complex ecosystem of stromal cells. Here, we present a 52,698-cell catalog of the TME transcriptome in human lung tumors at single-cell resolution, validated in independent samples where 40,250 additional cells were sequenced. By comparing with matching non-malignant lung samples, we reveal a highly complex TME that profoundly molds stromal cells. We identify 52 stromal cell subtypes, including novel subpopulations in cell types hitherto considered to be homogeneous, as well as transcription factors underlying their heterogeneity. For instance, we discover fibroblasts expressing different collagen sets, endothelial cells downregulating immune cell homing and genes coregulated with established immune checkpoint transcripts and correlating with T-cell activity. By assessing marker genes for these cell subtypes in bulk RNA-sequencing data from 1,572 patients, we illustrate how these correlate with survival, while immunohistochemistry for selected markers validates them as separate cellular entities in an independent series of lung tumors. Hence, in providing a comprehensive catalog of stromal cells types and by characterizing their phenotype and co-optive behavior, this resource provides deeper insights into lung cancer biology that will be helpful in advancing lung cancer diagnosis and therapy.",cancer,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6653/result,E-MTAB-6653,1
49,Spatio-temporal immune zonation of the human kidney,"Tissue-resident immune cells are important for organ homeostasis and defense. The epithelium may contribute to these functions directly or by cross-talk with immune cells. We used single-cell RNA sequencing to resolve the spatiotemporal immune topology of the human kidney. We reveal anatomically defined expression patterns of immune genes within the epithelial compartment, with antimicrobial peptide transcripts evident in pelvic epithelium in the mature, but not fetal, kidney. A network of tissue-resident myeloid and lymphoid immune cells was evident in both fetal and mature kidney, with postnatal acquisition of transcriptional programs that promote infection-defense capabilities. Epithelial-immune cross-talk orchestrated localization of antibacterial macrophages and neutrophils to the regions of the kidney most susceptible to infection. Overall, our study provides a global overview of how the immune landscape of the human kidney is zonated to counter the dominant immunological challenge.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-10/result,E-HCAD-10,1
50,Single-cell RNA sequencing of adult Drosophila ovary identifies transcriptional programs governing oogenesis,"Oogenesis is a complex developmental process that involves spatiotemporally regulated coordination between the germline and supporting, somatic cell populations. This process has been modeled extensively using the Drosophila ovary. Although different ovarian cell types have been identified through traditional means, the large-scale expression profiles underlying each cell type remain unknown. Using single-cell RNA sequencing technology, we have built a transcriptomic data set for the adult Drosophila ovary and connected tissues. Using this data set, we identified the transcriptional trajectory of the entire follicle-cell population over the course of their development from stem cells to the oogenesis-to-ovulation transition. We further identify expression patterns during essential developmental events that take place in somatic and germline cell types such as differentiation, cell-cycle switching, migration, symmetry breaking, nurse-cell engulfment, egg-shell formation, and corpus luteum signaling. Extensive experimental validation of unique expression patterns in both ovarian and nearby, nonovarian cells also led to the identification of many new cell type-and stage-specific markers. The inclusion of several nearby tissue types in this data set also led to our identification of functional convergence in expression between distantly related cell types such as the immune-related genes that were similarly expressed in immune cells (hemocytes) and ovarian somatic cells (stretched cells) during their brief phagocytic role in nurse-cell engulfment. Taken together, these findings provide new insight into the temporal regulation of genes in a cell-type specific manner during oogenesis and begin to reveal the relatedness in expression between cell and tissues types.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-146040/result,E-GEOD-146040,0
51,Profiling of CD34+ cells from human bone marrow to understand hematopoiesis,"Single-cell RNA sequencing studies of differentiating systems have raised fundamental questions regarding the discrete versus continuous nature of both differentiation and cell fate. Here we present Palantir, an algorithm that models trajectories of differentiating cells by treating cell fate as a probabilistic process and leverages entropy to measure cell plasticity along the trajectory. Palantir generates a high-resolution pseudo-time ordering of cells and, for each cell state, assigns a probability of differentiating into each terminal state. We apply our algorithm to human bone marrow single-cell RNA sequencing data and detect important landmarks of hematopoietic differentiation. Palantir's resolution enables the identification of key transcription factors that drive lineage fate choice and closely track when cells lose plasticity. We show that Palantir outperforms existing algorithms in identifying cell lineages and recapitulating gene expression trends during differentiation, is generalizable to diverse tissue types, and is well-suited to resolving less-studied differentiating systems.",methodology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-6/result,E-HCAD-6,1
52,Defining the Activated Fibroblast Population in Lung Fibrosis Using Single Cell Sequencing,"Idiopathic pulmonary fibrosis (IPF) is a progressive and fatal lung disorder driven by unrelenting extracellular matrix deposition. Fibroblasts are recognized as the central mediators of extracellular matrix production in IPF; however, the characteristics of the underlying fibroblast cell populations in IPF remain poorly understood. Here, we use an unbiased single-cell RNA sequencing analysis of a bleomycin-induced pulmonary fibrosis model to characterize molecular responses to fibrotic injury. Lung cells were isolated on Day 11 to capture emerging fibrosis and gene expression was analyzed by three complementary techniques, which, together, generated a 49-gene signature that defined an activated subpopulation of fibroblasts. However, none of the identified genes were specific to the activated cells or to the disease setting, implying that the activated fibroblasts are not uniquely defined, but exhibit a similar, yet amplified, gene expression pattern to control cells. Our findings have important implications for fibrosis research, including:1) defining myofibroblasts with any single marker will fail to capture much of the underlying biology;2) fibroblast activation is poorly correlated with expression of transforming growth factor-β pathway genes;3) single-cell analysis provides insight into the mechanism of action of effective therapies (nintedanib);4) early events in lung fibrosis need not involve significant changes in fibroblast number; populations that do increase in number, such as macrophages, dendritic cells, and proliferating myeloid cells, may merit closer examination for their role in pathogenesis.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-14/result,E-HCAD-14,1
53,The Dynamic Transcriptional Cell Atlas of Testis Development during Human Puberty,"The human testis undergoes dramatic developmental and structural changes during puberty, including proliferation and maturation of somatic niche cells, and the onset of spermatogenesis. To characterize this understudied process, we profiled and analyzed single-cell transcriptomes of ∼10,000 testicular cells from four boys spanning puberty and compared them to those of infants and adults. During puberty, undifferentiated spermatogonia sequentially expand and differentiate prior to the initiation of gametogenesis. Notably, we identify a common pre-pubertal progenitor for Leydig and myoid cells and delineate candidate factors controlling pubertal differentiation. Furthermore, pre-pubertal Sertoli cells exhibit two distinct transcriptional states differing in metabolic profiles before converging to an alternative single mature population during puberty. Roles for testosterone in Sertoli cell maturation, antimicrobial peptide secretion, and spermatogonial differentiation are further highlighted through single-cell analysis of testosterone-suppressed transfemale testes. Taken together, our transcriptional atlas of the developing human testis provides multiple insights into developmental changes and key factors accompanying male puberty.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-134144/result,E-GEOD-134144,1
54,Single-cell transcriptome atlas and chromatin accessibility landscape reveal differentiation trajectories in the rice root,"Root development relies on the establishment of meristematic tissues that give rise to distinct cell types that differentiate across defined temporal and spatial gradients. Dissection of the developmental trajectories and the transcriptional networks that underlie them could aid understanding of the function of the root apical meristem in both dicots and monocots. Here, we present a single-cell RNA (scRNA) sequencing and chromatin accessibility survey of rice radicles. By temporal profiling of individual root tip cells we reconstruct continuous developmental trajectories of epidermal cells and ground tissues, and elucidate regulatory networks underlying cell fate determination in these cell lineages. We further identify characteristic processes, transcriptome profiles, and marker genes for these cell types and reveal conserved and divergent root developmental pathways between dicots and monocots. Finally, we demonstrate the potential of the platform for functional genetic studies by using spatiotemporal modeling to identify a rice root meristematic mutant from a cell-specific gene cohort.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-52/result,E-ENAD-52,0
55,Single cell RNA-seq of 3 key time points in oesophageal post-natal development,"Epithelial cells rapidly adapt their behaviour in response to increasing tissue demands. However, the processes that finely control these cell decisions remain largely unknown. The postnatal period covering the transition between early tissue expansion and the establishment of adult homeostasis provides a convenient model with which to explore this question. Here, we demonstrate that the onset of homeostasis in the epithelium of the mouse oesophagus is guided by the progressive build-up of mechanical strain at the organ level. Single-cell RNA sequencing and whole-organ stretching experiments revealed that the mechanical stress experienced by the growing oesophagus triggers the emergence of a bright Krüppel-like factor 4 (KLF4) committed basal population, which balances cell proliferation and marks the transition towards homeostasis in a yes-associated protein (YAP)-dependent manner. Our results point to a simple mechanism whereby mechanical changes experienced at the whole-tissue level are integrated with those sensed at the cellular level to control epithelial cell fate.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8662/result,E-MTAB-8662,1
56,Stromal evolution of cancer-associated fibroblasts in pancreatic ductal adenocarcinoma genetically engineered mouse models,"With only a fraction of patients responding to cancer immunotherapy, a better understanding of the entire tumor microenvironment is needed. Using single-cell transcriptomics, we chart the fibroblastic landscape during pancreatic ductal adenocarcinoma (PDAC) progression in animal models. We identify a population of carcinoma-associated fibroblasts (CAF) that are programmed by TGFβ and express the leucine-rich repeat containing 15 (LRRC15) protein. These LRRC15+CAFs surround tumor islets and are absent from normal pancreatic tissue. The presence of LRRC15+CAFs in human patients was confirmed in >80,000 single cells from 22 patients with PDAC as well as by using IHC on samples from 70 patients. Furthermore, immunotherapy clinical trials comprising more than 600 patients across six cancer types revealed elevated levels of the LRRC15+CAF signature correlated with poor response to anti-PD-L1 therapy. This work has important implications for targeting nonimmune elements of the tumor microenvironment to boost responses of patients with cancer to immune checkpoint blockade therapy. SIGNIFICANCE: This study describes the single-cell landscape of CAFs in pancreatic cancer duringin vivotumor evolution. A TGFβ-driven, LRRC15+CAF lineage is associated with poor outcome in immunotherapy trial data comprising multiple solid-tumor entities and represents a target for combinatorial therapy.This article is highlighted in the In This Issue feature, p. 161.",cancer,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8483/result,E-MTAB-8483,1
57,"A cell atlas of human thymic development defines T cell repertoire formation, postnatal mouse thymic gene expression data","The thymus provides a nurturing environment for the differentiation and selection of T cells, a process orchestrated by their interaction with multiple thymic cell types. We used single-cell RNA sequencing to create a cell census of the human thymus across the life span and to reconstruct T cell differentiation trajectories and T cell receptor (TCR) recombination kinetics. Using this approach, we identified and located in situ CD8αα+T cell populations, thymic fibroblast subtypes, and activated dendritic cell states. In addition, we reveal a bias in TCR recombination and selection, which is attributed to genomic position and the kinetics of lineage commitment. Taken together, our data provide a comprehensive atlas of the human thymus across the life span with new insights into human T cell development.",cell_atlas;immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-80/result,E-CURD-80,1
58,Transcriptomic Profiling of the Developing Cardiac Conduction System at Single-Cell Resolution,"Rationale:The cardiac conduction system (CCS) consists of distinct components including the sinoatrial node, atrioventricular node, His bundle, bundle branches, and Purkinje fibers. Despite an essential role for the CCS in heart development and function, the CCS has remained challenging to interrogate because of inherent obstacles including small cell numbers, large cell-type heterogeneity, complex anatomy, and difficulty in isolation. Single-cell RNA-sequencing allows for genome-wide analysis of gene expression at single-cell resolution.Objective:Assess the transcriptional landscape of the entire CCS at single-cell resolution by single-cell RNA-sequencing within the developing mouse heart.Methods and results:Wild-type, embryonic day 16.5 mouse hearts (n=6 per zone) were harvested and 3 zones of microdissection were isolated, including: Zone I-sinoatrial node region; Zone II-atrioventricular node/His region; and Zone III-bundle branch/Purkinje fiber region. Tissue was digested into single-cell suspensions, cells isolated, mRNA reverse transcribed, and barcoded before high-throughput sequencing and bioinformatics analyses. Single-cell RNA-sequencing was performed on over 22 000 cells, and all major cell types of the murine heart were successfully captured including bona fide clusters of cells consistent with each major component of the CCS. Unsupervised weighted gene coexpression network analysis led to the discovery of a host of novel CCS genes, a subset of which were validated using fluorescent in situ hybridization as well as whole-mount immunolabeling with volume imaging (iDISCO+) in 3 dimensions on intact mouse hearts. Further, subcluster analysis unveiled isolation of distinct CCS cell subtypes, including the clinically relevant but poorly characterized transitional cells that bridge the CCS and surrounding myocardium.Conclusions:Our study represents the first comprehensive assessment of the transcriptional profiles from the entire CCS at single-cell resolution and provides a characterization in the context of development and disease.",disease;developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-16/result,E-HCAD-16,1
59,Single cell transcriptomics of iPSC derived neurons under genetic and toxic stressors,"The advent of induced pluripotent stem cell (iPSC)-derived neurons has revolutionized Parkinson's disease (PD) research, but single-cell transcriptomic analysis suggests unresolved cellular heterogeneity within these models. Here, we perform the largest single-cell transcriptomic study of human iPSC-derived dopaminergic neurons to elucidate gene expression dynamics in response to cytotoxic and genetic stressors. We identify multiple neuronal subtypes with transcriptionally distinct profiles and differential sensitivity to stress, highlighting cellular heterogeneity in dopamine in vitro models. We validate this disease model by showing robust expression of PD GWAS genes and overlap with postmortem adult substantia nigra neurons. Importantly, stress signatures are ameliorated using felodipine, an FDA-approved drug. Using isogenic SNCA-A53T mutants, we find perturbations in glycolysis, cholesterol metabolism, synaptic signaling, and ubiquitin-proteasomal degradation. Overall, our study reveals cell type-specific perturbations in human dopamine neurons, which will further our understanding of PD and have implications for cell replacement therapies.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-9154/result,E-MTAB-9154,1
60,Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease,"Rationale:The cardiac conduction system (CCS) consists of distinct components including the sinoatrial node, atrioventricular node, His bundle, bundle branches, and Purkinje fibers. Despite an essential role for the CCS in heart development and function, the CCS has remained challenging to interrogate because of inherent obstacles including small cell numbers, large cell-type heterogeneity, complex anatomy, and difficulty in isolation. Single-cell RNA-sequencing allows for genome-wide analysis of gene expression at single-cell resolution.Objective:Assess the transcriptional landscape of the entire CCS at single-cell resolution by single-cell RNA-sequencing within the developing mouse heart.Methods and results:Wild-type, embryonic day 16.5 mouse hearts (n=6 per zone) were harvested and 3 zones of microdissection were isolated, including: Zone I-sinoatrial node region; Zone II-atrioventricular node/His region; and Zone III-bundle branch/Purkinje fiber region. Tissue was digested into single-cell suspensions, cells isolated, mRNA reverse transcribed, and barcoded before high-throughput sequencing and bioinformatics analyses. Single-cell RNA-sequencing was performed on over 22 000 cells, and all major cell types of the murine heart were successfully captured including bona fide clusters of cells consistent with each major component of the CCS. Unsupervised weighted gene coexpression network analysis led to the discovery of a host of novel CCS genes, a subset of which were validated using fluorescent in situ hybridization as well as whole-mount immunolabeling with volume imaging (iDISCO+) in 3 dimensions on intact mouse hearts. Further, subcluster analysis unveiled isolation of distinct CCS cell subtypes, including the clinically relevant but poorly characterized transitional cells that bridge the CCS and surrounding myocardium.Conclusions:Our study represents the first comprehensive assessment of the transcriptional profiles from the entire CCS at single-cell resolution and provides a characterization in the context of development and disease.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-11/result,E-HCAD-11,1
61,A Cell Atlas of the Drosophila ovary,"The Drosophila ovary is a widely used model for germ cell and somatic tissue biology. Here we use single-cell RNA-sequencing (scRNA-seq) to build a comprehensive cell atlas of the adult Drosophila ovary that contains transcriptional profiles for every major cell type in the ovary, including the germline stem cells and their niche cells, follicle stem cells, and previously undescribed subpopulations of escort cells. In addition, we identify Gal4 lines with specific expression patterns and perform lineage tracing of subpopulations of escort cells and follicle cells. We discover that a distinct subpopulation of escort cells is able to convert to follicle stem cells in response to starvation or upon genetic manipulation, including knockdown of escargot, or overactivation of mTor or Toll signalling.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-136162/result,E-GEOD-136162,0
62,Assessing the relevance of organoids to model inter-individual variation,"The purpose of this project is to assess the relevance of pluripotent stem cell-derived cerebral and liver organoids to recapitulate the variation in cell-type specific gene expression programs between individuals. Towards this aim, we will generate reference atlases of the developing cortex and liver from multiple individuals, derive iPSC lines from these same individuals, and determine if inter-individual gene expression variation is recapitulated in cerebral and liver organoids from the same individual from which we have reference maps. In parallel we will assess the genetic contribution to variability between organoids from different iPSCs of multiple human individuals that are available in existing iPSC resources (e.g. HipSci).",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-5/result,E-HCAD-5,1
63,Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration,"The human retinal pigment epithelium (RPE) and choroid are complex tissues that provide crucial support to the retina. Disease affecting either of these supportive tissues can lead to irreversible blindness in the setting of age-related macular degeneration. In this study, single-cell RNA sequencing was performed on macular and peripheral regions of RPE-choroid from 7 human donor eyes in 2 independent experiments. In the first experiment, total RPE/choroid preparations were evaluated and expression profiles specific to RPE and major choroidal cell populations were identified. As choroidal endothelial cells represent a minority of the total RPE/choroidal cell population but are strongly implicated in age-related macular degeneration (AMD) pathogenesis, a second single-cell RNA-sequencing experiment was performed using endothelial cells enriched by magnetic separation. In this second study, we identified gene expression signatures along the choroidal vascular tree, classifying the transcriptome of human choriocapillaris, arterial, and venous endothelial cells. We found that the choriocapillaris highly and specifically expresses the regulator of cell cycle gene (RGCC), a gene that responds to complement activation and induces apoptosis in endothelial cells. In addition,RGCCwas the most up-regulated choriocapillaris gene in a donor diagnosed with AMD. These results provide a characterization of the human RPE and choriocapillaris transcriptome, offering potential insight into the mechanisms of choriocapillaris response to complement injury and choroidal vascular disease in age-related macular degeneration.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-135922/result,E-GEOD-135922,1
