journal_name,journal_name_full_name
RNA Dis,RNA & disease
RNA Biol,RNA biology
Pediatr Neurosurg,Pediatric neurosurgery
J Thorac Cardiovasc Surg,The Journal of thoracic and cardiovascular surgery
Nat Protoc,Nature protocols
Plants (Basel),Plants
Int J Exp Pathol,International journal of experimental pathology
Cell Cycle,Cell cycle
Adv Parasitol,Advances in parasitology
Rheumatol Int,Rheumatology international
J Clin Med,Journal of clinical medicine
Rev Recent Clin Trials,Reviews on recent clinical trials
Schweiz Arch Tierheilkd,Schweizer Archiv fur Tierheilkunde
Schizophr Bull Open,Schizophrenia bulletin open
Rev Neurosci,Reviews in the neurosciences
J Neurochem,Journal of neurochemistry
S Afr Fam Pract (2004),South African family practice
Rev Med Chil,Revista medica de Chile
Genomics Proteomics Bioinformatics,"Genomics, proteomics & bioinformatics"
Rev Lat Am Enfermagem,Revista latino-americana de enfermagem
Int J Cosmet Sci,International journal of cosmetic science
Rozhl Chir,Rozhledy v chirurgii
Rinsho Shinkeigaku,Rinsho shinkeigaku
Epilepsy Behav,Epilepsy & behavior
Rice (N Y),Rice
Rev Esp Salud Publica,Revista espanola de salud publica
Transplant Proc,Transplantation proceedings
Rev Esc Enferm USP,Revista da Escola de Enfermagem da U S P
World J Pediatr Congenit Heart Surg,World journal for pediatric & congenital heart surgery
Rev Enferm,Revista de enfermeria
Rheumatology (Oxford),Rheumatology
Hematology,Hematology
Rev Chil Pediatr,Revista chilena de pediatria
Am J Prev Med,American journal of preventive medicine
Acta Pharm Sin B,Acta pharmaceutica Sinica. B
J Proteome Res,Journal of proteome research
BMB Rep,BMB reports
Rev Bras Enferm,Revista brasileira de enfermagem
Ginekol Pol,Ginekologia polska
Nutr J,Nutrition journal
Ophthalmol Glaucoma,Ophthalmology. Glaucoma
Forensic Sci Int,Forensic science international
Public Health Nutr,Public health nutrition
Front Cell Infect Microbiol,Frontiers in cellular and infection microbiology
Reumatologia,Reumatologia
Rev Salud Publica (Bogota),Revista de salud publica
Restor Neurol Neurosci,Restorative neurology and neuroscience
Respir Res,Respiratory research
Environ Toxicol Pharmacol,Environmental toxicology and pharmacology
Rev Port Cardiol (Engl Ed),Revista portuguesa de cardiologia
J Oral Pathol Med,Journal of oral pathology & medicine
Rev Peru Med Exp Salud Publica,Revista peruana de medicina experimental y salud publica
Res Social Adm Pharm,Research in social & administrative pharmacy
Res Nurs Health,Research in nursing & health
Res Dev Disabil,Research in developmental disabilities
Clin Liver Dis,Clinics in liver disease
Mult Scler,Multiple sclerosis
Drug Discov Today,Drug discovery today
Plant Cell,The Plant cell
Ann Hum Genet,Annals of human genetics
Development,Development
Reprod Biol Endocrinol,Reproductive biology and endocrinology
Rev Neurol (Paris),Revue neurologique
Regen Med,Regenerative medicine
Pharmacogenomics,Pharmacogenomics
Birth Defects Res,Birth defects research
Rev Med Inst Mex Seguro Soc,Revista medica del Instituto Mexicano del Seguro Social
Rev Med Chir Soc Med Nat Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi
J Hematol Oncol,Journal of hematology & oncology
Environ Int,Environment international
Rapid Commun Mass Spectrom,Rapid communications in mass spectrometry
Rev Gaucha Enferm,Revista gaucha de enfermagem
Int J Comput Assist Radiol Surg,International journal of computer assisted radiology and surgery
Brain Pathol,Brain pathology
Comput Methods Programs Biomed,Computer methods and programs in biomedicine
Acta Oncol,Acta oncologica
J Am Soc Nephrol,Journal of the American Society of Nephrology
JCI Insight,JCI insight
Parasit Vectors,Parasites & vectors
Palliat Med,Palliative medicine
Mol Microbiol,Molecular microbiology
Br J Anaesth,British journal of anaesthesia
Radiologe,Der Radiologe
Radiol Phys Technol,Radiological physics and technology
Radiol Med,La Radiologia medica
Radiographics,Radiographics
Cell Biosci,Cell & bioscience
Radiat Prot Dosimetry,Radiation protection dosimetry
Radiat Oncol,Radiation oncology
Br J Pharmacol,British journal of pharmacology
Rev Fac Cien Med Univ Nac Cordoba,Revista de la Facultad de Ciencias Medicas
Front Psychol,Frontiers in psychology
Asian J Androl,Asian journal of andrology
Cerebrovasc Dis,Cerebrovascular diseases
Int J Gen Med,International journal of general medicine
Int J Biol Macromol,International journal of biological macromolecules
IEEE Trans Biomed Eng,IEEE transactions on bio-medical engineering
Phys Rev E,Physical review. E
Qual Health Res,Qualitative health research
Rev Esp Patol,Revista espanola de patologia
JAMA Oncol,JAMA oncology
Laterality,Laterality
Cancer Metab,Cancer & metabolism
Public Health,Public health
Rev Esp Med Nucl Imagen Mol (Engl Ed),Revista espanola de medicina nuclear e imagen molecular
Psychosom Med,Psychosomatic medicine
Rev Colomb Obstet Ginecol,Revista colombiana de obstetricia y ginecologia
Andrology,Andrology
Psychol Res Behav Manag,Psychology research and behavior management
Psychol Med,Psychological medicine
Rev Clin Esp (Barc),Revista clinica espanola
Psychiatry Res Neuroimaging,Psychiatry research. Neuroimaging
Psychiatry Clin Neurosci,Psychiatry and clinical neurosciences
Circulation,Circulation
Psychiatr Serv,Psychiatric services
Psychiatr Rehabil J,Psychiatric rehabilitation journal
Nat Immunol,Nature immunology
Proteomics Clin Appl,Proteomics. Clinical applications
Proteomics,Proteomics
Asian J Psychiatr,Asian journal of psychiatry
Rev Calid Asist,Revista de calidad asistencial
Brain Res Bull,Brain research bulletin
Proteomes,Proteomes
Proteins,Proteins
Int Urol Nephrol,International urology and nephrology
Chromosoma,Chromosoma
Protein Pept Lett,Protein and peptide letters
J Med Radiat Sci,Journal of medical radiation sciences
Mod Pathol,Modern pathology
Int J Oral Sci,International journal of oral science
Prog Urol,Progres en urologie
Prog Retin Eye Res,Progress in retinal and eye research
Cancer Biol Ther,Cancer biology & therapy
Eur J Radiol,European journal of radiology
Forensic Sci Res,Forensic sciences research
Rev Bras Epidemiol,Revista brasileira de epidemiologia
Rev Assoc Med Bras (1992),Revista da Associacao Medica Brasileira
Reumatol Clin (Engl Ed),Reumatologia clinica
"RETRACTED ARTICLE	JCO Precis Oncol",JCO precision oncology
"RETRACTED ARTICLE	J Exp Clin Cancer Res",Journal of experimental & clinical cancer research
"RETRACTED ARTICLE	J Cell Physiol",Journal of cellular physiology
"RETRACTED ARTICLE	J Cell Biochem",Journal of cellular biochemistry
"RETRACTED ARTICLE	J Biochem Mol Toxicol",Journal of biochemical and molecular toxicology
"RETRACTED ARTICLE	Cell Cycle",Cell cycle
"RETRACTED ARTICLE	Cancer Manag Res",Cancer management and research
"RETRACTED ARTICLE	Cancer Biol Ther",Cancer biology & therapy
"RETRACTED ARTICLE	Biosci Biotechnol Biochem","Bioscience, biotechnology, and biochemistry"
"RETRACTED ARTICLE	Anticancer Drugs",Anti-cancer drugs
Retin Cases Brief Rep,Retinal cases & brief reports
Rehabilitacion (Madr),Rehabilitacion
Recenti Prog Med,Recenti progressi in medicina
Recent Pat Anticancer Drug Discov,Recent patents on anti-cancer drug discovery
J Med Syst,Journal of medical systems
Biochim Biophys Acta Biomembr,Biochimica et biophysica acta. Biomembranes
Ann Biomed Eng,Annals of biomedical engineering
Radiologia (Engl Ed),Radiologia
Neuroradiol J,The neuroradiology journal
Int J Lab Hematol,International journal of laboratory hematology
BMC Psychol,BMC psychology
Cell Discov,Cell discovery
Proc Inst Mech Eng H,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine"
Radiol Imaging Cancer,Radiology. Imaging cancer
Radiography (Lond),Radiography
Primates,Primates; journal of primatology
Int J Health Geogr,International journal of health geographics
Prev Vet Med,Preventive veterinary medicine
Prehosp Emerg Care,Prehospital emergency care
Prehosp Disaster Med,Prehospital and disaster medicine
Q J Exp Psychol (Hove),Quarterly journal of experimental psychology
J Glob Oncol,Journal of global oncology
Psychopharmacology (Berl),Psychopharmacology
Popul Health Manag,Population health management
Pol J Pathol,Polish journal of pathology
PM R,PM & R
J Biol Chem,The Journal of biological chemistry
Neurol Neurochir Pol,Neurologia i neurochirurgia polska
J Neurosurg,Journal of neurosurgery
Prog Neuropsychopharmacol Biol Psychiatry,Progress in neuro-psychopharmacology & biological psychiatry
Adv Exp Med Biol,Advances in experimental medicine and biology
Cell Stem Cell,Cell stem cell
IEEE Trans Pattern Anal Mach Intell,IEEE transactions on pattern analysis and machine intelligence
Proc SPIE Int Soc Opt Eng,Proceedings of SPIE--the International Society for Optical Engineering
Circ Res,Circulation research
Brain Res,Brain research
J Genet Genomics,Journal of genetics and genomics
Chin J Cancer Res,Chinese journal of cancer research
Chronobiol Int,Chronobiology international
Cytokine,Cytokine
Clin Orthop Relat Res,Clinical orthopaedics and related research
J Am Heart Assoc,Journal of the American Heart Association
J Neurosci Methods,Journal of neuroscience methods
J Comp Neurol,The Journal of comparative neurology
Br J Radiol,The British journal of radiology
J Cosmet Dermatol,Journal of cosmetic dermatology
J Fr Ophtalmol,Journal francais d&ophtalmologie
Chromosome Res,Chromosome research
Nutr Cancer,Nutrition and cancer
Cult Health Sex,"Culture, health & sexuality"
Int Psychogeriatr,International psychogeriatrics
Plant Physiol Biochem,Plant physiology and biochemistry
Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America
Einstein (Sao Paulo),Einstein
Clin Nucl Med,Clinical nuclear medicine
J Allergy Clin Immunol Pract,The journal of allergy and clinical immunology. In practice
Arch Sex Behav,Archives of sexual behavior
Liver Int,Liver international
J Perinat Med,Journal of perinatal medicine
Eur J Pharmacol,European journal of pharmacology
J Altern Complement Med,Journal of alternative and complementary medicine
Epilepsia Open,Epilepsia open
Bosn J Basic Med Sci,Bosnian journal of basic medical sciences
PeerJ,PeerJ
Arch Biochem Biophys,Archives of biochemistry and biophysics
J Cancer,Journal of Cancer
Mediators Inflamm,Mediators of inflammation
Hum Hered,Human heredity
J Palliat Care,Journal of palliative care
Fam Syst Health,"Families, systems & health"
Dis Colon Rectum,Diseases of the colon and rectum
Clin Invest Med,Clinical and investigative medicine. Medecine clinique et experimentale
Ann Emerg Med,Annals of emergency medicine
Hum Immunol,Human immunology
Biomed J,Biomedical journal
Parkinsonism Relat Disord,Parkinsonism & related disorders
Hereditas,Hereditas
Gut Microbes,Gut microbes
Adv Anat Pathol,Advances in anatomic pathology
Environ Toxicol,Environmental toxicology
J Autism Dev Disord,Journal of autism and developmental disorders
BMC Med Imaging,BMC medical imaging
J Clin Oncol,Journal of clinical oncology
Pain,Pain
Acta Sci Pol Technol Aliment,Acta scientiarum polonorum. Technologia alimentaria
Trends Cell Biol,Trends in cell biology
PLoS Genet,PLoS genetics
J Synchrotron Radiat,Journal of synchrotron radiation
Eur J Histochem,European journal of histochemistry
Signal Transduct Target Ther,Signal transduction and targeted therapy
Mol Genet Genomic Med,Molecular genetics & genomic medicine
Breast Cancer Res Treat,Breast cancer research and treatment
Lancet Microbe,The Lancet. Microbe
Surg Oncol Clin N Am,Surgical oncology clinics of North America
Neuropathology,Neuropathology
Int J Epidemiol,International journal of epidemiology
Plant Mol Biol,Plant molecular biology
Plant J,The Plant journal
Int J Pediatr Otorhinolaryngol,International journal of pediatric otorhinolaryngology
Acta Pharmacol Sin,Acta pharmacologica Sinica
Plant Cell Environ,"Plant, cell & environment"
Ann Nutr Metab,Annals of nutrition & metabolism
Physiotherapy,Physiotherapy
Physiol Rep,Physiological reports
Physiol Meas,Physiological measurement
Sex Transm Infect,Sexually transmitted infections
J Digit Imaging,Journal of digital imaging
J Bone Joint Surg Am,The Journal of bone and joint surgery. American volume
Photochem Photobiol Sci,Photochemical & photobiological sciences
Pharmacotherapy,Pharmacotherapy
Pharmacol Ther,Pharmacology & therapeutics
Pharmacol Rev,Pharmacological reviews
Women Birth,Women and birth
J Stroke Cerebrovasc Dis,Journal of stroke and cerebrovascular diseases
PET Clin,PET clinics
Perspect Public Health,Perspectives in public health
Mol Cell Biochem,Molecular and cellular biochemistry
Gerontologist,The Gerontologist
J Urol,The Journal of urology
Ther Adv Cardiovasc Dis,Therapeutic advances in cardiovascular disease
J Physiol,The Journal of physiology
Obstet Gynecol,Obstetrics and gynecology
Oncology,Oncology
Mol Cancer Ther,Molecular cancer therapeutics
Clin Hemorheol Microcirc,Clinical hemorheology and microcirculation
Clin Neuroradiol,Clinical neuroradiology
Ann Glob Health,Annals of global health
Pediatrics,Pediatrics
Pediatr Radiol,Pediatric radiology
Pediatr Neurol,Pediatric neurology
Pediatr Dent,Pediatric dentistry
Patient Saf Surg,Patient safety in surgery
Patient,The patient
Pathologe,Der Pathologe
Clin Genitourin Cancer,Clinical genitourinary cancer
J Alzheimers Dis,Journal of Alzheimer&  disease
Mol Imaging Biol,Molecular imaging and biology
Psychophysiology,Psychophysiology
Cancer Cytopathol,Cancer cytopathology
Eur J Cancer Prev,European journal of cancer prevention
IEEE J Biomed Health Inform,IEEE journal of biomedical and health informatics
Asia Pac J Clin Oncol,Asia-Pacific journal of clinical oncology
Dig Dis Sci,Digestive diseases and sciences
Curr Drug Targets,Current drug targets
Cornea,Cornea
J Palliat Med,Journal of palliative medicine
Mol Hum Reprod,Molecular human reproduction
Adv Pharm Bull,Advanced pharmaceutical bulletin
iScience,iScience
Endocr Pathol,Endocrine pathology
Curr Med Sci,Current medical science
Immunotherapy,Immunotherapy
Ann Rheum Dis,Annals of the rheumatic diseases
Pathobiology,Pathobiology
Circ Cardiovasc Qual Outcomes,Circulation. Cardiovascular quality and outcomes
Iran J Public Health,Iranian journal of public health
Proc IEEE Int Symp Biomed Imaging,Proceedings. IEEE International Symposium on Biomedical Imaging
Pancreatology,Pancreatology
Thorax,Thorax
HIV Res Clin Pract,HIV research & clinical practice
Pan Afr Med J,The Pan African medical journal
Am J Emerg Med,The American journal of emergency medicine
Palliat Support Care,Palliative & supportive care
Fam Med,Family medicine
PLoS Pathog,PLoS pathogens
Pain Med,Pain medicine
Am J Otolaryngol,American journal of otolaryngology
Ophthalmic Genet,Ophthalmic genetics
Paediatr Perinat Epidemiol,Paediatric and perinatal epidemiology
Probl Sotsialnoi Gig Zdravookhranenniiai Istor Med,"Problemy sotsial&noi gigieny, zdravookhraneniia i istorii meditsiny"
Pril (Makedon Akad Nauk Umet Odd Med Nauki),Prilozi
Pol Przegl Chir,Polski przeglad chirurgiczny
Methods,Methods
Immun Inflamm Dis,"Immunity, inflammation and disease"
Phytomed Plus,Phytomedicine Plus
Cancer Genomics Proteomics,Cancer genomics & proteomics
Neurosurg Rev,Neurosurgical review
Mol Cell,Molecular cell
Appl Immunohistochem Mol Morphol,Applied immunohistochemistry & molecular morphology
Philos Trans R Soc Lond B Biol Sci,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
Crit Care Med,Critical care medicine
Mol Psychiatry,Molecular psychiatry
Anal Biochem,Analytical biochemistry
Autoimmunity,Autoimmunity
Otolaryngol Head Neck Surg,Otolaryngology--head and neck surgery
JCO Precis Oncol,JCO precision oncology
Perspect Health Inf Manag,Perspectives in health information management
Perm J,The Permanente journal
Osteoporos Int,Osteoporosis international
Orv Hetil,Orvosi hetilap
Orthop Traumatol Surg Res,"Orthopaedics & traumatology, surgery & research"
Curr Opin Organ Transplant,Current opinion in organ transplantation
J Immunol Methods,Journal of immunological methods
Int J Infect Dis,International journal of infectious diseases
J Environ Pathol Toxicol Oncol,"Journal of environmental pathology, toxicology and oncology"
Data Brief,Data in brief
Inflamm Bowel Dis,Inflammatory bowel diseases
Patterns (N Y),Patterns
J Thorac Dis,Journal of thoracic disease
J Neurol,Journal of neurology
Optom Vis Sci,Optometry and vision science
J Biomed Inform,Journal of biomedical informatics
Ophthalmology,Ophthalmology
Pathophysiology,Pathophysiology
Nutrients,Nutrients
Patch Based Tech Med Imaging (2016),Patch-based techniques in medical imaging
Papillomavirus Res,Papillomavirus research
Pac Symp Biocomput,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing
Pa Dent J (Harrisb),Pennsylvania dental journal
Ophthalmic Epidemiol,Ophthalmic epidemiology
Oper Neurosurg (Hagerstown),Operative neurosurgery
Artif Cells Nanomed Biotechnol,"Artificial cells, nanomedicine, and biotechnology"
Isr J Health Policy Res,Israel journal of health policy research
Cochlear Implants Int,Cochlear implants international
Immunogenetics,Immunogenetics
J Rheumatol,The Journal of rheumatology
J Med Imaging Radiat Sci,Journal of medical imaging and radiation sciences
Mol Reprod Dev,Molecular reproduction and development
Iran J Basic Med Sci,Iranian journal of basic medical sciences
Am J Surg Pathol,The American journal of surgical pathology
Cien Saude Colet,Ciencia & saude coletiva
Animal Model Exp Med,Animal models and experimental medicine
J Orthop Res,Journal of orthopaedic research
Oncol Res Treat,Oncology research and treatment
Oncol Res,Oncology research
J Orthop Surg Res,Journal of orthopaedic surgery and research
Front Mol Neurosci,Frontiers in molecular neuroscience
IUBMB Life,IUBMB life
Neuroreport,Neuroreport
Ann Diagn Pathol,Annals of diagnostic pathology
Microorganisms,Microorganisms
Hum Genet,Human genetics
Biosystems,Bio Systems
Clin Lung Cancer,Clinical lung cancer
Ann Med,Annals of medicine
Aust J Gen Pract,Australian journal of general practice
Am J Physiol Gastrointest Liver Physiol,American journal of physiology. Gastrointestinal and liver physiology
BMC Womens Health,BMC women&  health
Turk J Gastroenterol,The Turkish journal of gastroenterology
BMC Pregnancy Childbirth,BMC pregnancy and childbirth
Appl Radiat Isot,Applied radiation and isotopes
J Chem Neuroanat,Journal of chemical neuroanatomy
Neural Netw,Neural networks
Int J Numer Method Biomed Eng,International journal for numerical methods in biomedical engineering
J Am Assoc Nurse Pract,Journal of the American Association of Nurse Practitioners
Cytometry A,Cytometry. Part A
Int J Dent Hyg,International journal of dental hygiene
Appl Ergon,Applied ergonomics
Int J Med Inform,International journal of medical informatics
Ann Clin Transl Neurol,Annals of clinical and translational neurology
Immunobiology,Immunobiology
J Hand Surg Asian Pac Vol,The journal of hand surgery Asian-Pacific volume
Nat Rev Mol Cell Biol,Nature reviews. Molecular cell biology
Clin J Sport Med,Clinical journal of sport medicine
J Prim Health Care,Journal of primary health care
Cell Commun Signal,Cell communication and signaling
RNA,RNA
Oncogenesis,Oncogenesis
Target Oncol,Targeted oncology
R Soc Open Sci,Royal Society open science
Nat Nanotechnol,Nature nanotechnology
Endocr Relat Cancer,Endocrine-related cancer
J Dermatol Sci,Journal of dermatological science
Indian J Ophthalmol,Indian journal of ophthalmology
Front Vet Sci,Frontiers in veterinary science
J Immunol,Journal of immunology
Gigascience,GigaScience
Hypertension,Hypertension
Am Surg,The American surgeon
Curr Med Chem,Current medicinal chemistry
J Sch Health,The Journal of school health
Basic Clin Androl,Basic and clinical andrology
Chin J Nat Med,Chinese journal of natural medicines
Adipocyte,Adipocyte
Health SA,Health SA
Clin Ther,Clinical therapeutics
Obes Surg,Obesity surgery
J Histochem Cytochem,The journal of histochemistry and cytochemistry
J Dual Diagn,Journal of dual diagnosis
Ital J Pediatr,Italian journal of pediatrics
Nutr Neurosci,Nutritional neuroscience
Nutr Clin Pract,Nutrition in clinical practice
Gac Sanit,Gaceta sanitaria
Nurse Educ Today,Nurse education today
Nurs Inq,Nursing inquiry
Nurs Ethics,Nursing ethics
Nuncius,Nuncius
J Proteomics,Journal of proteomics
J Neuropathol Exp Neurol,Journal of neuropathology and experimental neurology
Nat Neurosci,Nature neuroscience
J Cancer Educ,Journal of cancer education
Nucl Med Commun,Nuclear medicine communications
Prog Biophys Mol Biol,Progress in biophysics and molecular biology
Br J Haematol,British journal of haematology
Cancer Invest,Cancer investigation
Neurosci Lett,Neuroscience letters
J Am Med Inform Assoc,Journal of the American Medical Informatics Association
J Pers Soc Psychol,Journal of personality and social psychology
Prog Neurobiol,Progress in neurobiology
Comput Med Imaging Graph,Computerized medical imaging and graphics
Ann Hepatol,Annals of hepatology
J Neural Eng,Journal of neural engineering
Discov Oncol,Discover. Oncology
Disabil Rehabil,Disability and rehabilitation
Neurocrit Care,Neurocritical care
Int J Health Plann Manage,The International journal of health planning and management
Ann Surg,Annals of surgery
NPJ Precis Oncol,NPJ precision oncology
NPJ Genom Med,NPJ genomic medicine
Quintessence Int,Quintessence international
Open Med (Wars),Open medicine
Catheter Cardiovasc Interv,Catheterization and cardiovascular interventions
Niger Postgrad Med J,The Nigerian postgraduate medical journal
Niger J Clin Pract,Nigerian journal of clinical practice
Skelet Muscle,Skeletal muscle
Nicotine Tob Res,Nicotine & tobacco research
New Phytol,The New phytologist
Genet Test Mol Biomarkers,Genetic testing and molecular biomarkers
J Adolesc Young Adult Oncol,Journal of adolescent and young adult oncology
Oncoscience,Oncoscience
Mol Neurobiol,Molecular neurobiology
Occup Med (Lond),Occupational medicine
eNeuro,eNeuro
OBM Neurobiol,OBM neurobiology
Neuroscience,Neuroscience
Neurosci Res,Neuroscience research
Neurosci Bull,Neuroscience bulletin
Environ Res,Environmental research
J Chemother,Journal of chemotherapy
Nurs Leadersh (Tor Ont),Nursing leadership
J Sex Res,Journal of sex research
Psychoneuroendocrinology,Psychoneuroendocrinology
Lancet HIV,The lancet. HIV
Nurs Adm Q,Nursing administration quarterly
Int J Immunopathol Pharmacol,International journal of immunopathology and pharmacology
Nucl Med Rev Cent East Eur,Nuclear medicine review. Central & Eastern Europe
Ann Am Thorac Soc,Annals of the American Thoracic Society
Neuropsychopharmacology,Neuropsychopharmacology
Noncoding RNA,Non-coding RNA
Biomedica,Biomedica
Neurophotonics,Neurophotonics
Neuropharmacology,Neuropharmacology
Surg Today,Surgery today
Neuron,Neuron
Urol Int,Urologia internationalis
No Shinkei Geka,No shinkei geka. Neurological surgery
Mol Cell Probes,Molecular and cellular probes
Nihon Hoshasen Gijutsu Gakkai Zasshi,Nihon Hoshasen Gijutsu Gakkai zasshi
Neurol Res Int,Neurology research international
Neurol Res,Neurological research
J Gastroenterol Hepatol,Journal of gastroenterology and hepatology
Neurol Int,Neurology international
Neurol Genet,Neurology. Genetics
Lipids Health Dis,Lipids in health and disease
Front Neural Circuits,Frontiers in neural circuits
J Craniofac Surg,The Journal of craniofacial surgery
Neuropsychopharmacol Rep,Neuropsychopharmacology reports
Neuropsychol Dev Cogn B Aging Neuropsychol Cogn,"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition"
Biochim Biophys Acta Mol Basis Dis,Biochimica et biophysica acta. Molecular basis of disease
Inflamm Res,Inflammation research
Neurooncol Adv,Neuro-oncology advances
J Med Imaging Radiat Oncol,Journal of medical imaging and radiation oncology
mSphere,mSphere
Nurs Health Sci,Nursing & health sciences
Mol Cell Biol,Molecular and cellular biology
Neuromethods,Neuromethods
J Neurol Neurosurg Psychiatry,"Journal of neurology, neurosurgery, and psychiatry"
Endocrine,Endocrine
Neurol Med Chir (Tokyo),Neurologia medico-chirurgica
Nat Cancer,Nature cancer
Cancer Metastasis Rev,Cancer metastasis reviews
Clin Anat,Clinical anatomy
Dev Cogn Neurosci,Developmental cognitive neuroscience
J Interpers Violence,Journal of interpersonal violence
J Periodontol,Journal of periodontology
Netw Syst Med,Network and systems medicine
Natl Sci Rev,National science review
Lancet,Lancet
Genomics Inform,Genomics & informatics
Cancer Causes Control,Cancer causes & control
Cell Calcium,Cell calcium
Cancer Treat Rev,Cancer treatment reviews
NAR Cancer,NAR cancer
Int J Orthop Trauma Nurs,International journal of orthopaedic and trauma nursing
Fam Cancer,Familial cancer
J Acad Nutr Diet,Journal of the Academy of Nutrition and Dietetics
Curr Opin Pharmacol,Current opinion in pharmacology
Curr Opin Immunol,Current opinion in immunology
Nanomaterials (Basel),Nanomaterials
Nan Fang Yi Ke Da Xue Xue Bao,Nan fang yi ke da xue xue bao
JCO Glob Oncol,JCO global oncology
Atherosclerosis,Atherosclerosis
Nat Biomed Eng,Nature biomedical engineering
FEBS Lett,FEBS letters
Nat Rev Drug Discov,Nature reviews. Drug discovery
J Vasc Access,The journal of vascular access
Can Fam Physician,Canadian family physician Medecin de famille canadien
Front Syst Neurosci,Frontiers in systems neuroscience
J Pediatr Adolesc Gynecol,Journal of pediatric and adolescent gynecology
Ecotoxicol Environ Saf,Ecotoxicology and environmental safety
J Hepatocell Carcinoma,Journal of hepatocellular carcinoma
Mol Biosyst,Molecular bioSystems
Cancer Res Treat,Cancer research and treatment
Acta Trop,Acta tropica
Cureus,Cureus
Epileptic Disord,Epileptic disorders
Cell Signal,Cellular signalling
Clin Transl Gastroenterol,Clinical and translational gastroenterology
J Int AIDS Soc,Journal of the International AIDS Society
Mol Genet Genomics,Molecular genetics and genomics
Vet Med Sci,Veterinary medicine and science
Neurodegener Dis,Neuro-degenerative diseases
Mol Biol (Mosk),Molekuliarnaia biologiia
Neurochirurgie,Neuro-Chirurgie
Neurobiol Aging,Neurobiology of aging
J Immunother,Journal of immunotherapy
Microrna,MicroRNA
Methods Mol Biol,Methods in molecular biology
BMJ,BMJ
Neural Comput,Neural computation
J Stomatol Oral Maxillofac Surg,"Journal of stomatology, oral and maxillofacial surgery"
Nephrol Ther,Nephrologie & therapeutique
J Healthc Eng,Journal of healthcare engineering
J Surg Oncol,Journal of surgical oncology
Anat Cell Biol,Anatomy & cell biology
J Neurophysiol,Journal of neurophysiology
Am J Respir Cell Mol Biol,American journal of respiratory cell and molecular biology
Neonatology,Neonatology
Nefrologia,Nefrologia
Am J Sports Med,The American journal of sports medicine
Brachytherapy,Brachytherapy
Nat Sci Sleep,Nature and science of sleep
Eur J Trauma Emerg Surg,European journal of trauma and emergency surgery
Nat Struct Mol Biol,Nature structural & molecular biology
Nat Rev Neurosci,Nature reviews. Neuroscience
Nat Rev Neurol,Nature reviews. Neurology
Curr Probl Diagn Radiol,Current problems in diagnostic radiology
Nat Rev Nephrol,Nature reviews. Nephrology
Nat Rev Immunol,Nature reviews. Immunology
Int J Urol,International journal of urology
Nat Rev Genet,Nature reviews. Genetics
Lancet Diabetes Endocrinol,The lancet. Diabetes & endocrinology
Nat Rev Dis Primers,Nature reviews. Disease primers
Nat Rev Cancer,Nature reviews. Cancer
Genetica,Genetica
Nat Prod Res,Natural product research
Nat Plants,Nature plants
ACS Chem Neurosci,ACS chemical neuroscience
J Trace Elem Med Biol,Journal of trace elements in medicine and biology
Cell Death Discov,Cell death discovery
JMIR Res Protoc,JMIR research protocols
JAMA Psychiatry,JAMA psychiatry
J Neurosurg Pediatr,Journal of neurosurgery. Pediatrics
J Pharmacol Exp Ther,The Journal of pharmacology and experimental therapeutics
Ulus Travma Acil Cerrahi Derg,Ulusal travma ve acil cerrahi dergisi
Eur J Pediatr,European journal of pediatrics
J Gynecol Oncol,Journal of gynecologic oncology
Am J Kidney Dis,American journal of kidney diseases
Agric Human Values,Agriculture and human values
Mech Dev,Mechanisms of development
Nat Chem Biol,Nature chemical biology
Crisis,Crisis
J Chem Inf Model,Journal of chemical information and modeling
Cancer Nurs,Cancer nursing
Investig Clin Urol,Investigative and clinical urology
Nat Ecol Evol,Nature ecology & evolution
Int J Oral Maxillofac Surg,International journal of oral and maxillofacial surgery
Clin Exp Med,Clinical and experimental medicine
Am J Physiol Lung Cell Mol Physiol,American journal of physiology. Lung cellular and molecular physiology
Heliyon,Heliyon
Neurocomputing,Neurocomputing
Neurotoxicology,Neurotoxicology
J Acquir Immune Defic Syndr,Journal of acquired immune deficiency syndromes
Toxicol In Vitro,Toxicology in vitro
Gen Physiol Biophys,General physiology and biophysics
Front Plant Sci,Frontiers in plant science
J Environ Manage,Journal of environmental management
Diagn Cytopathol,Diagnostic cytopathology
Synthese,Synthese
Eur J Oncol Nurs,European journal of oncology nursing
Stem Cell Res Ther,Stem cell research & therapy
Biol Direct,Biology direct
Cell Mol Life Sci,Cellular and molecular life sciences
Midwifery,Midwifery
Exp Mol Med,Experimental & molecular medicine
Int J Biol Markers,The International journal of biological markers
Histol Histopathol,Histology and histopathology
Pain Res Manag,Pain research & management
Cell Tissue Res,Cell and tissue research
J Exp Med,The Journal of experimental medicine
Endocr Metab Immune Disord Drug Targets,"Endocrine, metabolic & immune disorders drug targets"
Pathology,Pathology
