celltype_id	celltype_standard	celltype_ontology	status	def
CTP0000185	pancreatic D cell	CL:0000173	standard	" ""A D cell located in the pancreas. Peripherally placed within the islets like type A cells; contains somatostatin."" [FMA:0517223651, GOC:tfm]"
CTP0000186	Kupffer cell	CL:0000091	standard	" ""A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system."" [GO_REF:0000031, GOC:add, GOC:tfm, ISBN:0517223651, MESH:A11.329.372.588, PMID:15771589, PMID:17105582]"
CTP0000187	immature natural killer cell	CL:0000823	standard	" ""A natural killer cell that is developmentally immature and expresses natural killer cell receptors (NKR)."" [GO_REF:0000031, GOC:add, ISBN:0781735149, PMID:12457618]"
CTP0000188	immature NK T cell	CL:0000914	standard	" ""An immature alpha-beta T-cell that express Egr2. These cells give rise to T cells expressing NK markers."" [GO_REF:0000031, GOC:add, GOC:pam, GOC:tfm, PMID:17589542, PMID:19169262]"
CTP0000189	cardiac neuron	CL:0010022	standard	
CTP0000190	pre-natural killer cell	CL:0000937	standard	" ""Cell committed to natural killer cell lineage that has the phenotype CD122-positive, CD34-positive, and CD117-positive. This cell type lacks expression of natural killer receptor proteins."" [GO_REF:0000031, GOC:add, GOC:dsd, GOC:pam, GOC:tfm, PMID:16551251, PMID:17100874]"
CTP0000191	globose cell of olfactory epithelium	CL:0002171	standard	" ""A rounded or elliptical epithelial cell, with pale-staining open face nucleus and pale cytoplasm rich in free ribosomes and clusters of centrioles; form a distinct basal zone spaced slightly from the basal surface of the epithelium."" [GOC:tfm, PMID:17468753]"
CTP0000192	basal proper cell of olfactory epithelium	CL:0002184	standard	" ""A flat or angular epithelial cell with condensed nuclei and darkly staining cytoplasm containing numerous intermediate filaments inserted into desmosomes contacting surrounding supporting cells; lie in contact with the basal lamina of olfactory epithelium."" [GOC:tfm, PMID:0517223651, PMID:11891623]"
CTP0000193	secretory cell	CL:0000151	standard	" ""A cell that specializes in controlled release of one or more substances."" [GOC:tfm, ISBN:0721662544]"
CTP0000194	respiratory basal cell	CL:0002633	standard	" ""A basal cell in the respiratory tract."" [GOC:tfm, PMID:20699479]"
CTP0000195	sustentacular cell	CL:0000703	standard	" ""Cell that provides some or all mechanical, nutritional and phagocytic support to their neighbors."" [JB:jb]"
CTP0000196	microvillous olfactory receptor neuron	CL:0000848	standard	" ""An olfactory receptor cell in which the apical ending of the dendrite is a knob that bears numerous microvilli."" [PMID:16841163]"
CTP0000197	fibroblast of cardiac tissue	CL:0002548	standard	" ""A fibroblast that is part of the heart."" [GOC:tfm]"
CTP0000198	cardiac endothelial cell	CL:0010008	standard	
CTP0000199	Schwann cell	CL:0002573	standard	" ""A glial cell that ensheathes axons of neuron in the peripheral nervous system and are necessary for their maintainance and function."" [GOC:tfm]"
CTP0000200	vascular leptomeningeal cell	CL:4023051	standard	" ""A type of mesothelial fibroblast that is derived from the neural crest, is localized on blood vessels, and is a key component of the pia and arachnoid membranes surrounding the brain."" [PMID:27284195, PMID:29443965, PMID:30096314]"
CTP0000201	olfactory ensheathing cell	CL:0011028	standard	
CTP0000202	olfactory bulb interneuron	CL:1001434	standard	" ""A neuron residing in the olfactory bulb that serve to process and refine signals arising from olfactory sensory neurons"" [PMID:18603310]"
CTP0000203	dopaminergic neuron	CL:0000700	standard	" ""A neuron that releases dopamine as a neurotransmitter."" [GOC:dhill]"
CTP0000204	olfactory granule cell	CL:0000626	standard	" ""Granule cell that is part of the olfactory bulb."" [GOC:mah]"
CTP0000205	leptomeningeal cell	CL:0000708	standard	" ""Stromal cell that forms the internal covering of the vertebrate brain and produces ECM for this and the choroid plexus."" [JB:jb]"
CTP0000206	central nervous system pericyte	CL:0002575	standard	" ""A pericyte of the central nervous system."" [GOC:tfm]"
CTP0000207	neural progenitor cell	CL:0011020	standard	" ""An undifferentiated cell that originates from a neural stem cell and has the capacity to generate multiple types of lineage-restricted progenitors but not to self-renew."" [PMID:30574073]"
CTP0000208	cortical interneuron	CL:0008031	standard	
CTP0000209	cerebral cortex endothelial cell	CL:1001602	standard	" ""Endothelial cells forming the walls of the capillaries within the cerebral cortex."" [NPX:PDR]"
CTP0000210	pyramidal neuron	CL:0000598	standard	" ""Pyramidal neurons have a pyramid-shaped soma with a single axon, a large apical dendrite and multiple basal dendrites. The apex and an apical dendrite typically point toward the pial surface and other dendrites and an axon emerging from the base. The axons may have local collaterals but also project outside their region. Pyramidal neurons are found in the cerebral cortex, the hippocampus, and the amygdala."" [GOC:tfm, MESH:A08.186.211.577.405.700]"
CTP0000211	excitatory neuron	CL:0008030	standard	
CTP0000212	phagocyte	CL:0000234	standard	" ""Any cell capable of ingesting particulate matter via phagocytosis."" [GOC:add, ISBN:0721601464]"
CTP0000213	cerebral cortex glial cell	CL:1001579	standard	" ""Glial cell of cerebral cortex."" [NPX:PDR]"
CTP0000214	kidney loop of Henle epithelial cell	CL:1000909	standard	
CTP0000215	renal filtration cell	CL:0002522	standard	" ""A renal filtration cell is a specialized cell of the renal system that filter fluids by charge, size or both."" [GOC:tfm]"
CTP0000216	kidney interstitial myofibroblast	CL:1000691	standard	
CTP0000217	glomerular visceral epithelial cell	CL:0000653	standard	" ""A glomerular visceral epithelial cell is a specialized kidney epithelial cell that contains \""feet\"" that interdigitate with the \""feet\"" of other glomerular epithelial cells."" [GOC:tfm]"
CTP0000218	erythroid progenitor cell	CL:0000038	standard	" ""A progenitor cell committed to the erythroid lineage."" [GOC:add, ISBN:0721601464]"
CTP0000219	megakaryocyte progenitor cell	CL:0000553	standard	" ""The earliest cytologically identifiable precursor in the thrombocytic series. This cell is capable of endomitosis and lacks expression of hematopoieitic lineage markers (lin-negative)."" [GOC:dsd, GOC:tfm, ISBN:0721601464]"
CTP0000220	hematopoietic multipotent progenitor cell	CL:0000837	standard	" ""A hematopoietic multipotent progenitor cell is multipotent, but not capable of long-term self-renewal. These cells are characterized as lacking lineage cell surface markers and being CD34-positive in both mice and humans."" [GOC:add, GOC:tfm, PMID:19022770]"
CTP0000221	common dendritic progenitor	CL:0001029	standard	" ""Common dendritic precursor is a hematopoietic progenitor cell that is CD117-low, CD135-positive, CD115-positive and lacks plasma membrane parts for hematopoietic lineage markers."" [GO_REF:0000031, GOC:amm, GOC:tfm, PMID:16551251, PMID:17922016, PMID:19286519]"
CTP0000222	common myeloid progenitor	CL:0000049	standard	" ""A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages."" [GOC:add, ISBN:0878932437, MESH:D023461]"
CTP0000223	Sertoli cell	CL:0000216	standard	" ""A supporting cell projecting inward from the basement membrane of seminiferous tubules. They surround and nourish the developing male germ cells and secrete androgen binding protein. Their tight junctions with the spermatogonia and spermatocytes provide a blood-testis barrier."" [MESH:A05.360.444.849.789]"
CTP0000224	spermatocyte	CL:0000017	standard	" ""A male germ cell that develops from spermatogonia. The euploid primary spermatocytes undergo meiosis and give rise to the haploid secondary spermatocytes which in turn give rise to spermatids."" [GOC:tfm, MESH:A05.360.490.890.880]"
CTP0000225	spermatogonium	CL:0000020	standard	" ""An euploid male germ cell of an early stage of spermatogenesis."" [MESH:A05.360.490.890.900]"
CTP0000226	spermatid	CL:0000018	standard	" ""A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa."" [MESH:A05.360.490.890.860]"
CTP0000227	smooth muscle cell of colon	CL:1000280	standard	" ""A smooth muscle cell that is part of the colon."" [GOC:tfm]"
CTP0000228	retinal pigment epithelial cell	CL:0002586	standard	" ""An epithelial cell of the retinal pigmented epithelium."" [GOC:tfm]"
CTP0000229	melanocyte	CL:0000148	standard	" ""A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance."" [SANBI:mhl]"
CTP0000230	vein endothelial cell	CL:0002543	standard	" ""An endothelial cell that is part of the vein."" [GOC:tfm]"
CTP0000231	capillary endothelial cell	CL:0002144	standard	" ""An endothelial cell found in capillaries."" [GOC:tfm]"
CTP0000232	endothelial cell of artery	CL:1000413	standard	" ""A blood vessel endothelial cell that is part of an arterial endothelium."" [GOC:tfm]"
CTP0000233	pancreatic epsilon cell	CL:0005019	standard	" ""Ghrelin secreting cells found in the endocrine pancreas."" [PMID:14970313]"
CTP0000234	retinal ganglion cell	CL:0000740	standard	" ""The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve."" [GOC:dph]"
CTP0000235	amacrine cell	CL:0000561	standard	" ""Interneuron of the vertebrate retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons."" [GOC:tfm, MESH:A08.663.358.050, WikipediaVersioned:Amacrine_cell&oldid=1023572246]"
CTP0000236	retinal rod cell	CL:0000604	standard	" ""One of the two photoreceptor cell types of the vertebrate retina. In rods the photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision."" [MESH:A08.663.650.650.670.650]"
CTP0000237	retinal bipolar neuron	CL:0000748	standard	" ""A bipolar neuron found in the retina and having connections with photoreceptors cells and neurons in the inner plexiform layer."" [PMID:14689473]"
CTP0000238	retinal cone cell	CL:0000573	standard	" ""One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision."" [MESH:A08.663.650.650.670.100]"
CTP0000239	glomerular endothelial cell	CL:0002188	standard	" ""An endothelial cell found in the glomerulus of the kidney. This cell is flattened, highly fenestrated, and plays a vital role in the formation of glomerular ultrafiltrate."" [GOC:tfm, PMID:15840009]"
CTP0000240	kidney connecting tubule epithelial cell	CL:1000768	standard	
CTP0000241	paneth cell of epithelium of small intestine	CL:1000343	standard	" ""A paneth cell that is part of the epithelium of small intestine."" [GOC:tfm]"
CTP0000242	intestinal enteroendocrine cell	CL:1001516	standard	" ""The various hormone- or neurotransmitter-secreting cells present throughout the mucosa of the intestinal tract."" [MP:0010802]"
CTP0000243	intestinal crypt stem cell	CL:0002250	standard	" ""A cell that is found in a zone occupying the bottom region of the crypt; provide the source of most of the cell types of the intestinal epithelium; proliferate by mitotic division; differentiates into columnar or goblet cells."" [GOC:tfm, ISBN:0517223651]"
CTP0000244	small intestine goblet cell	CL:1000495	standard	" ""A goblet cell that is part of the small intestine."" [GOC:tfm]"
CTP0000245	enterocyte of epithelium of small intestine	CL:1000334	standard	" ""An enterocyte that is part of the epithelium of small intestine."" [GOC:tfm]"
CTP0000246	stem cell	CL:0000034	standard	" ""A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:tfm, MESH:A11.872]"
CTP0000247	transit amplifying cell	CL:0009010	standard	" ""Transit-amplifying cells (TACs) are an undifferentiated population in transition between stem cells and differentiated cells."" [http://orcid.org/0000-0003-4183-8865, PMID:24813615, PMID:28835754]"
CTP0000248	paneth cell	CL:0000510	standard	" ""An epithelial cell found in the basal part of the intestinal glands (crypts of Lieberkuhn) including the appendix. Paneth cells synthesize and secrete lysozyme and cryptdins. Numerous in the deeper parts of the intestinal crypts, particularly in the duodenum, rich in zinc, contain large acidophilic granules, with irregular apical microvilli and prominent membrane-bound vacuoles containing matrix."" [GOC:tfm, ISBN:0517223651, MESH:A03.492.411.369.700]"
CTP0000249	kidney collecting duct cell	CL:1001225	standard	
CTP0000250	juxtaglomerular complex cell	CL:1000618	standard	
CTP0000251	alpha-beta T cell	CL:0000789	standard	" ""A T cell that expresses an alpha-beta T cell receptor complex."" [GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000252	mature B cell	CL:0000785	standard	" ""A B cell that is mature, having left the bone marrow. Initially, these cells are IgM-positive and IgD-positive, and they can be activated by antigen."" [GOC:add, GOC:dsd, ISBN:0781735149]"
CTP0000253	hepatic stellate cell	CL:0000632	standard	" ""A cell that is found in the perisinusoidal space of the liver that is capable of multiple roles including storage of retinol, presentation of antigen to T cells (including CD1d-restricted NKT cells), and upon activation, production of extracellular matrix components that can contribute to liver fibrosis. This activated state has a myofibroblast-like phenotype, though it's not clear in the literature if this is terminally differentiated. This cell type comprises approximately 8-15% of total cells in the liver."" [GOC:dsd, http://en.wikipedia.org/wiki/Hepatic_stellate_cell, MESH:D055166, PMID:12808230, PMID:17239632, PMID:18222966, PMID:9302568]"
CTP0000254	cholangiocyte	CL:1000488	standard	" ""An epithelial cell that is part of the bile duct. Cholangiocytes contribute to bile secretion via net release of bicarbonate and water. They are cuboidal epithelium in the small interlobular bile ducts, but become columnar and mucus secreting in larger bile ducts approaching the porta hepatis and the extrahepatic ducts."" [GOC:tfm, PMID:16550043, PMID:18356246]"
CTP0000255	embryonic fibroblast	CL:2000042	standard	" ""Any fibroblast that is part of a embryo."" [GOC:TermGenie]"
CTP0000256	progenitor cell	CL:0011026	standard	" ""A precursor cell that has a tendency to differentiate into a specific type of cell. They are descendants of stem cells, only they are more constrained in their differentiation potential or capacity for self-renewal, and are often more limited in both senses."" [https://doi.org/10.1016/B978-0-12-409503-8.00002-0, ISBN:978-1-62808-994-3]"
CTP0000257	lung macrophage	CL:1001603	standard	" ""Circulating macrophages and tissue macrophages (alveolar macrophages) of lung."" [HPA:HPA, NPX:PDR]"
CTP0000258	lung secretory cell	CL:1000272	standard	
CTP0000259	neoplastic cell	CL:0001063	standard	" ""An abnormal cell exhibiting dysregulation of cell proliferation or programmed cell death and capable of forming a neoplasm, an aggregate of cells in the form of a tumor mass or an excess number of abnormal cells (liquid tumor) within an organism."" [GOC:add, GOC:cg, GOC:wdd]"
CTP0000260	cardiac muscle myoblast	CL:0000513	standard	" ""A precursor cell destined to differentiate into cardiac muscle cell."" [GOC:tfm, MESH:A11.635.470]"
CTP0000261	hair germinal matrix cell	CL:0002562	standard	" ""An epidermal cell that is part of the germinal matrix."" [GOC:tfm]"
CTP0000262	hair follicle dermal papilla cell	CL:0000346	standard	" ""A specialized mesenchymal cell that resides in the dermal papilla located at the bottom of hair follicles. This cell plays a pivotal roles in hair formation, growth, and cycling."" [GOC:tfm, PMID:9893172]"
CTP0000263	ependymal cell	CL:0000065	standard	" ""A neurectoderm derived cell that lines the neural lumen."" [GOC:tfm, JB:jb, PMID:9550134]"
CTP0000264	neural crest cell	CL:0011012	standard	" ""A cell of the neural crest. Neural crest cells are multipotent. Premigratory neural crest cells are found at the neural plate boarder, some of which will undergo ectomesynchymal transition and delamination to form migratory neural crest cells."" [https://orcid.org/0000-0001-5208-3432, https://orcid.org/0000-0002-9900-7880]"
CTP0000265	Schwann cell precursor	CL:0002375	standard	" ""A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19."" [GOC:tfm]"
CTP0000266	glioblast	CL:0000030	standard	
CTP0000267	myoblast	CL:0000056	standard	" ""A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair."" [GOC:tfm, MESH:A11.635, PMID:21849021]"
CTP0000268	Cajal-Retzius cell	CL:0000695	standard	" ""A neuron of the human embryonic marginal zone which display, as a salient feature, radial ascending processes that contact the pial surface, and a horizontal axon plexus located in the deep marginal zone. One feature of these cells in mammals is that they express the Reelin gene."" [PMID:10600995, PMID:9728912]"
CTP0000269	forebrain neuroblast	CL:1000042	standard	
CTP0000270	motor neuron	CL:0000100	standard	" ""An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement."" [MESH:A08.663.655.500, PMID:16875686]"
CTP0000271	sensory neuron	CL:0000101	standard	" ""Any neuron having a sensory function; an afferent neuron conveying sensory impulses."" [ISBN:0721662544]"
CTP0000272	Mural.Rgs5Acta2.Rgs5		author_defined	
CTP0000273	Chondroctye progenitors-21-10		author_defined	
CTP0000274	kidney interstital cell 1		author_defined	
CTP0000275	Gria2+ neuron		author_defined	
CTP0000276	L5b		author_defined	
CTP0000277	Intermediate Mesoderm-3-17		author_defined	
CTP0000278	4_Meis2 HPF		author_defined	
CTP0000279	Pvalb Wt1, Pvalb Gpx3		author_defined	
CTP0000280	Neuron.Gad1Gad2.Pvalb-Rgs12		author_defined	
CTP0000281	87_Sst		author_defined	
CTP0000282	Neuron.Slc17a7.Syt6-Etv1		author_defined	
CTP0000283	Sympathetic cholinergic neurons		author_defined	
CTP0000284	gamma-delta CD8+ T cell		author_defined	
CTP0000285	Microglial		author_defined	
CTP0000286	Exc L5 THEMIS FGF10		author_defined	
CTP0000287	Gad1Gad2_Htr3a.Htr1b		author_defined	
CTP0000288	Primitive erythroid lineage-26-3		author_defined	
CTP0000289	33_Sncg		author_defined	
CTP0000290	Excitatory neurons-5-8		author_defined	
CTP0000291	Inh L1-2 PVALB CDK20		author_defined	
CTP0000292	a1_tanycytes1		author_defined	
CTP0000293	Oligodendrocyte.Tnf.Igsf8-Ctps		author_defined	
CTP0000294	basal epithelial cell		author_defined	
CTP0000295	Neuron.Sc17a7.Oprk1		author_defined	
CTP0000296	117_Pvalb		author_defined	
CTP0000297	Exc L5-6 FEZF2 CABP7		author_defined	
CTP0000298	mitral/tufted cell		author_defined	
CTP0000299	Mural.Rgs5Acta2.Abcc9		author_defined	
CTP0000300	cardiac endothelial cell 2		author_defined	
CTP0000301	multipotent progenitor cell		author_defined	
CTP0000302	POLYDENDROCYTE		author_defined	
CTP0000303	Intermediate Mesoderm-3-20		author_defined	
CTP0000304	Endo		author_defined	
CTP0000305	oligodendrocyte of primary visual cortex		author_defined	
CTP0000306	naive T-helper cell type 1		author_defined	
CTP0000307	lymphatic endothelial cell		author_defined	
CTP0000308	Neuron.Slc17a7.Rgs14		author_defined	
CTP0000309	L5b Samd3, L5b Cdh13		author_defined	
CTP0000310	Neuron.Gad1Gad2.Drd1-Pde1a		author_defined	
CTP0000311	Exc L3 LINC00507 PSRC1		author_defined	
CTP0000312	135_L3 IT ENTm		author_defined	
CTP0000313	Melanocytes-36-3		author_defined	
CTP0000314	Pvalb Obox3, Pvalb Gpx3		author_defined	
CTP0000315	Inhibitory interneurons-27-7		author_defined	
CTP0000316	early/late glomerular visceral epithelial cell		author_defined	
CTP0000317	proliferative nephron progenitor 2		author_defined	
CTP0000318	Intermediate Mesoderm-3-22		author_defined	
CTP0000319	Goblet cell		author_defined	
CTP0000320	TEGLU10		author_defined	
CTP0000321	Mural.Rgs5Acta2.Fos		author_defined	
CTP0000322	MEGLU1		author_defined	
CTP0000323	CD36+ endothelial cell		author_defined	
CTP0000324	microvillous ionocyte-like cell		author_defined	
CTP0000325	Inh L3-5 SST GGTLC3		author_defined	
CTP0000326	Neural Tube-14-9		author_defined	
CTP0000327	Neuron.Slc17a6.Tcf4		author_defined	
CTP0000328	Micro L1-6 C1QC		author_defined	
CTP0000329	Neural progenitor cells-9-26		author_defined	
CTP0000330	312_L6b CTX		author_defined	
CTP0000331	pMGE.24.NKX2-1		author_defined	
CTP0000332	Gad1Gad2Chat_Htr3a.Chat		author_defined	
CTP0000333	naive T cell type 1		author_defined	
CTP0000334	Epithelial cells-6-15		author_defined	
CTP0000335	cortical layer 2-3 excitatory neuron		author_defined	
CTP0000336	Neuron.Slc17a7.Fibcd1-Lypd1		author_defined	
CTP0000337	Sensory neurons-24-6		author_defined	
CTP0000338	56_Vip HPF		author_defined	
CTP0000339	Radial glia-7-3		author_defined	
CTP0000340	ependymal cell		author_defined	
CTP0000341	Non-cycling perivascular macrophages		author_defined	
CTP0000342	Neural Tube-14-11		author_defined	
CTP0000343	stromal 2		author_defined	
CTP0000344	glutamatergic neuron of primary visual area, layer 4		author_defined	
CTP0000345	Cd34		author_defined	
CTP0000346	Astrocyte.Gja1.Vegfa		author_defined	
CTP0000347	Excitatory neurons-5-6		author_defined	
CTP0000348	357_CA3-do		author_defined	
CTP0000349	Inh L3-5 SST MAFB		author_defined	
CTP0000350	Neuron.Slc17a6.Rora.Lrrtm2		author_defined	
CTP0000351	Fetal premeiotic germ cell		author_defined	
CTP0000352	Postmitotic premature neurons-10-20		author_defined	
CTP0000353	Neuron.Slc17a7.Bcl6-Ndst4		author_defined	
CTP0000354	Definitive erythroid lineage-22-15		author_defined	
CTP0000355	36_Sncg		author_defined	
CTP0000356	Mural.Rgs5Acta2.Pdgfa		author_defined	
CTP0000357	central memory T cell		author_defined	
CTP0000358	Melanocytes-36-5		author_defined	
CTP0000359	282_L6 CT CTX		author_defined	
CTP0000360	oligodendrocyte		author_defined	
CTP0000361	27_Ntng1 HPF		author_defined	
CTP0000362	human embryonic fibroblast/induced day type 3 dendritic cell		author_defined	
CTP0000363	Polydendrocyte.Tnr.Bmp4- Ptgds		author_defined	
CTP0000364	Otic vesicle		author_defined	
CTP0000365	PP		author_defined	
CTP0000366	L2/3 IT CTX		author_defined	
CTP0000367	highly activated T cell		author_defined	
CTP0000368	Neural progenitor cells-9-13		author_defined	
CTP0000369	Astro Gja1		author_defined	
CTP0000370	Pvalb Gpx3		author_defined	
CTP0000371	264_L5/6 NP CTX		author_defined	
CTP0000372	Oligo L2-6 OPALIN MAP6D1		author_defined	
CTP0000373	165_L2/3 IT CTX		author_defined	
CTP0000374	amacrine cell CCA9		author_defined	
CTP0000375	70_Sst		author_defined	
CTP0000376	Inhibitory neurons-15-7		author_defined	
CTP0000377	Neurogenesis.Sox4.Stmn2		author_defined	
CTP0000378	Endothelial cells-20-10		author_defined	
CTP0000379	Exc L5-6 FEZF2 OR1L8		author_defined	
CTP0000380	early glomerular visceral epithelial cell 2		author_defined	
CTP0000381	Granule neurons-28-2		author_defined	
CTP0000382	unassigned activated T call		author_defined	
CTP0000383	Vip Chat		author_defined	
CTP0000384	committed progenitor		author_defined	
CTP0000385	choriocapillaris endothelial cell		author_defined	
CTP0000386	Mesentery		author_defined	
CTP0000387	CA2-IG-FC		author_defined	
CTP0000388	Osteoblasts-17-7		author_defined	
CTP0000389	Fetal Premeiotic germ cell		author_defined	
CTP0000390	Osteoblasts-17-12		author_defined	
CTP0000391	35_Sncg		author_defined	
CTP0000392	cytotoxic CD8+ T cell		author_defined	
CTP0000393	Neuron.Slc17a7.Neurod2-C1ql3		author_defined	
CTP0000394	Exc L4-5 RORB ASCL1		author_defined	
CTP0000395	Epithelial cells		author_defined	
CTP0000396	296_CT SUB		author_defined	
CTP0000397	219_L6 IT CTX		author_defined	
CTP0000398	Pars_Tuber1A		author_defined	
CTP0000399	Neuron.Slc17a7-Slc17a6.Tshz2-Npnt		author_defined	
CTP0000400	tip-like endothelial cell		author_defined	
CTP0000401	Neural progenitor cells-9-17		author_defined	
CTP0000402	consensus molecular subtype 1		author_defined	
CTP0000403	Exc L3-5 RORB CD24		author_defined	
CTP0000404	267_L5/6 NP CTX		author_defined	
CTP0000405	170_L2/3 IT CTX		author_defined	
CTP0000406	Dorsal midbrain		author_defined	
CTP0000407	Neuron.Slc17a6.Rora.Atp2b4		author_defined	
CTP0000408	245_L5 PT CTX		author_defined	
CTP0000409	Inh L1-2 SST PRRT4		author_defined	
CTP0000410	Ependymal cell-32-10		author_defined	
CTP0000411	Neuron.Slc17a7.Syt6-Lypd1		author_defined	
CTP0000412	Subcommissural organ		author_defined	
CTP0000413	Inhibitory neuron progenitors-18-18		author_defined	
CTP0000414	Neuron.Slc17a7.Parm1.Lsamp		author_defined	
CTP0000415	Inh L5-6 SST DNAJC14		author_defined	
CTP0000416	Mixed region glutamatergic		author_defined	
CTP0000417	Neuron.Slc17a6-Gad1Gad2.Asb4		author_defined	
CTP0000418	Inhibitory neurons-15-3		author_defined	
CTP0000419	TEINH19		author_defined	
CTP0000420	Endothelial_Tip.Dcn.Nenf		author_defined	
CTP0000421	HCC827		author_defined	
CTP0000422	Nascent mesoderm		author_defined	
CTP0000423	nCTX.100.CORT		author_defined	
CTP0000424	Bone		author_defined	
CTP0000425	Neuron.Slc17a7.Calb2-Adcyap1		author_defined	
CTP0000426	SPP1+B myeloid cell		author_defined	
CTP0000427	366_Oligo		author_defined	
CTP0000428	Jaw and tooth progenitors-4-17		author_defined	
CTP0000429	Mesothelium		author_defined	
CTP0000430	glutamatergic neuron of primary visual cortex, layer 2		author_defined	
CTP0000431	cytotoxic T cell type 1		author_defined	
CTP0000432	Definitive erythroid lineage		author_defined	
CTP0000433	Cardiac muscle lineages-34-6		author_defined	
CTP0000434	unspecified plasma cell		author_defined	
CTP0000435	Hepatocytes-29-5		author_defined	
CTP0000436	pMGE.125.CYP1B1		author_defined	
CTP0000437	Fetal Neuron		author_defined	
CTP0000438	naive CD4+ T cell		author_defined	
CTP0000439	Inhibitory neurons-15-9		author_defined	
CTP0000440	Jaw and tooth progenitors-4-12		author_defined	
CTP0000441	fetal fibroblast		author_defined	
CTP0000442	Mural.Rgs5Acta2.Kcnj8		author_defined	
CTP0000443	prolifirating B cell		author_defined	
CTP0000444	Immune		author_defined	
CTP0000445	Jaw and tooth progenitors-4-11		author_defined	
CTP0000446	Neuron.Slc17a7-Slc17a6.Nptxr-Rorb		author_defined	
CTP0000447	Polydendrocyte.Tnr.Cyth3		author_defined	
CTP0000448	Exc L4-5 RORB RPL31P31		author_defined	
CTP0000449	Early mesenchyme-8-16		author_defined	
CTP0000450	L6 Car12, L4 Sparcl1		author_defined	
CTP0000451	Neurogenesis.Sox4.Hist1h2al		author_defined	
CTP0000452	Mixed region GABAergic neuron		author_defined	
CTP0000453	glutamatergic neuron of primary visual cortex, layer 2/3 and layer 4		author_defined	
CTP0000454	Gja1.Htra1		author_defined	
CTP0000455	Chondrocytes & osteoblasts-2-13		author_defined	
CTP0000456	108_Pvalb		author_defined	
CTP0000457	Mural.Rgs5Acta2.Lmcd1		author_defined	
CTP0000458	Neuron.Gad1Gad2.Pvalb-Cadm1		author_defined	
CTP0000459	Definitive erythroid lineage-22-10		author_defined	
CTP0000460	259_L5 PT CTX		author_defined	
CTP0000461	L6 IT Car3		author_defined	
CTP0000462	epithelial cell of proximal tubule 1		author_defined	
CTP0000463	Pomc/Ttr		author_defined	
CTP0000464	Neurons6		author_defined	
CTP0000465	endometrial glandular epithelial cell		author_defined	
CTP0000466	mixed excitatory neuron		author_defined	
CTP0000467	Exc L6 THEMIS SNTG2		author_defined	
CTP0000468	364_DG		author_defined	
CTP0000469	Ependymal cells		author_defined	
CTP0000470	glomerular visceral epithelial cell 1		author_defined	
CTP0000471	L5a Batf3, L5a Fam5c		author_defined	
CTP0000472	epicardium		author_defined	
CTP0000473	Sst Myh8, Sst Cdk6		author_defined	
CTP0000474	Spinal cord		author_defined	
CTP0000475	381_SMC-Peri		author_defined	
CTP0000476	SST		author_defined	
CTP0000477	Inh L5-6 SST KLHL1		author_defined	
CTP0000478	Sst Cdk6		author_defined	
CTP0000479	Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 1		author_defined	
CTP0000480	Meis2		author_defined	
CTP0000481	MuralCells		author_defined	
CTP0000482	Inh L1-6 PVALB SCUBE3		author_defined	
CTP0000483	106_Sst HPF		author_defined	
CTP0000484	Gastric chief cell		author_defined	
CTP0000485	Mid-/hindbrain and spinal cord neuron		author_defined	
CTP0000486	L2/3_Syt10		author_defined	
CTP0000487	Granule neurons-28		author_defined	
